,factor,threshold,coverage,relevance,num_LLM_concepts,num_onto_concepts
0,Element_Relevant_to_Behavior_and_Lifestyle,0.75,0.4852941176470588,0.8575706878241224,2447,204
1,Element_Relevant_to_Economic_Stability,0.75,0.3333333333333333,0.8310505235555077,733,108
2,Element_Relevant_to_Education_and_Literacy,0.75,0.42424242424242425,0.964284283000569,1938,33
3,Element_Relevant_to_Food,0.75,0.4444444444444444,0.7914191419141915,257,9
4,Element_Relevant_to_Health_Care,0.75,0.4482758620689655,0.770623958725211,1483,29
5,Element_Relevant_to_Neighborhood,0.75,0.20588235294117646,0.6500792097660982,254,68
6,Element_Relevant_to_Social_and_Community_Context,0.75,0.36551724137931035,0.8760961875750023,2964,145
7,Element_Relevant_to_Behavior_and_Lifestyle,0.8,0.28431372549019607,0.7800918184394,2587,204
8,Element_Relevant_to_Economic_Stability,0.8,0.19444444444444445,0.7218241746366241,787,108
9,Element_Relevant_to_Education_and_Literacy,0.8,0.21212121212121213,0.9112898824813466,1972,33
10,Element_Relevant_to_Food,0.8,0.3333333333333333,0.7223140495867768,271,9
11,Element_Relevant_to_Health_Care,0.8,0.3793103448275862,0.6250576334980005,1668,29
12,Element_Relevant_to_Neighborhood,0.8,0.17647058823529413,0.5733785822021116,283,68
13,Element_Relevant_to_Social_and_Community_Context,0.8,0.2620689655172414,0.7591100269118845,3172,145
14,Element_Relevant_to_Behavior_and_Lifestyle,0.85,0.18627450980392157,0.6951486691520176,2786,204
15,Element_Relevant_to_Economic_Stability,0.85,0.12037037037037036,0.6292339544513458,856,108
16,Element_Relevant_to_Education_and_Literacy,0.85,0.18181818181818182,0.8502187677580348,2038,33
17,Element_Relevant_to_Food,0.85,0.2222222222222222,0.6667331206804891,296,9
18,Element_Relevant_to_Health_Care,0.85,0.20689655172413793,0.4875335611422993,1967,29
19,Element_Relevant_to_Neighborhood,0.85,0.1323529411764706,0.4953703703703704,324,68
20,Element_Relevant_to_Social_and_Community_Context,0.85,0.18620689655172415,0.636875993133947,3504,145
21,Element_Relevant_to_Behavior_and_Lifestyle,0.9,0.10294117647058823,0.612325880046944,3041,204
22,Element_Relevant_to_Economic_Stability,0.9,0.10185185185185185,0.5419188728026397,949,108
23,Element_Relevant_to_Education_and_Literacy,0.9,0.09090909090909091,0.7821767609001652,2137,33
24,Element_Relevant_to_Food,0.9,0.1111111111111111,0.5987468671679198,339,9
25,Element_Relevant_to_Health_Care,0.9,0.1724137931034483,0.364307385248013,2388,29
26,Element_Relevant_to_Neighborhood,0.9,0.014705882352941176,0.41178678678678676,382,68
27,Element_Relevant_to_Social_and_Community_Context,0.9,0.09655172413793103,0.5270445798323499,3981,145
28,Element_Relevant_to_Behavior_and_Lifestyle,0.95,0.049019607843137254,0.553511259192246,3312,204
29,Element_Relevant_to_Economic_Stability,0.95,0.08333333333333333,0.49003322259136217,1051,108
30,Element_Relevant_to_Education_and_Literacy,0.95,0.030303030303030304,0.7280878163231105,2266,33
31,Element_Relevant_to_Food,0.95,0.1111111111111111,0.5170063327576281,391,9
32,Element_Relevant_to_Health_Care,0.95,0.1724137931034483,0.26725027463591455,2892,29
33,Element_Relevant_to_Neighborhood,0.95,0.014705882352941176,0.37211965078002,428,68
34,Element_Relevant_to_Social_and_Community_Context,0.95,0.06206896551724138,0.45080338573677947,4529,145
