PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,health knowledge lectures,Yes,['literacy'],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.","Enhancing health knowledge relates to health literacy, a component of literacy."
40523528,mental health education,No,['Undefined'],"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.","Entity refers to a specific health education intervention, not a core education/literacy factor."
40523528,multidimensional comprehensive intervention,No,['Undefined'],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.","Entity refers to an intervention type, not an education/literacy factor."
40684246,health education,Yes,['literacy'],"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.","Health education relates to understanding and using health information, aligning with literacy in health contexts."
40684246,health literacy campaigns,Yes,['literacy'],"Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies...","Health literacy campaigns directly relate to improving health-related reading and understanding, a core aspect of literacy."
40660738,Educational attainment,Yes,['education_level'],"In amyloid-negative individuals, higher educational attainment was linked to greater posterior rsEEG alpha activity, possibly reflecting neuroprotective effects.",Reflects highest level of schooling completed.
40660738,Educational attainment,Yes,['education_level'],"Conversely, amyloid-positive individuals with higher educational attainment showed reduced posterior rsEEG alpha rhythms and lower parietal cortical thickness, potentially indicating compensatory mechanisms counteracting early amyloidosis and neurodegeneration.",Refers to the highest level of schooling completed by individuals.
40621962,culturally tailored education,Yes,['education_quality'],"Effective strategies involved long-term community engagement, culturally tailored education, participatory methods, and logistical support.","Culturally tailored education modifies educational content to align with cultural contexts, enhancing its effectiveness and relevance."
40288270,education,Yes,['education_level'],"A significant interaction between group and education for both WML types (WM-hyper: β = -0.097, p = 0.047; WM-hypo: β = -0.070, p = 0.037) was found, suggesting that among individuals who progressed to MCI, higher education was associated with lower WML burden.",Higher education level linked to lower WML burden in MCI progression.
40587504,higher education or above,Yes,['education_level'],"Residents aged 18-39, living in urban areas, with higher education or above, working in healthcare, having a higher income level, being unmarried, and having experience in Alzheimer's Disease and Related Dementias (ADRD) knowledge training have a higher level of knowledge about AD and a more positive attitude towards it.",Refers to the highest degree or stage of schooling completed by individuals.
40457220,education level,Yes,['education_level'],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.","Entity refers to highest schooling stage completed, a key behavioral factor in ADRD risk."
40432270,dementia education intervention,No,['Undefined'],This paper details the protocol for designing and evaluating a co-produced multilingual dementia education intervention named Dementia Friends Unite.,"Entity refers to an educational program for dementia awareness, not individual education/literacy factors impacting ADRD."
40432270,multilingual dementia education,Yes,['literacy'],A multi-stakeholder collaboration involving representatives from each of these communities was formed to co-produce the multilingual dementia education intervention.,"Multilingual education addresses language barriers, a core aspect of literacy in health contexts."
40261356,Dementia Knowledge Assessment Scale (DKAS),No,['Undefined'],"The mean (±SD) DKAS score was 8.87 (±10.84). Only 10% were considered to have good knowledge of dementia (i.e., DKAS score ≥26).","Entity refers to a knowledge assessment tool, not an education/literacy factor."
40072737,health literacy,Yes,['literacy'],"Multivariable analyses examined differences in knowledge, attitudinal, and behavioral outcomes by sociodemographic and psychosocial factors including health literacy and health activation.","Health literacy relates to understanding health information, a key aspect of literacy."
40072737,health activation,No,['Undefined'],Participants with low health activation were less likely to agree that steps can be taken.,"Entity refers to health behavior engagement, not education/literacy factors."
39720972,education and genetic risk counseling,No,['Undefined'],"To better aid efforts in education and genetic risk counseling for Latino populations, we must first understand the anticipated psychological and behavioral consequences of APOE genetic risk counseling.","Entity combines education with genetic counseling (medical factor), not a pure education/literacy class."
38668780,education,Yes,['education_level'],"After additional adjustment for education, health insurance, usual source of care, and chronic conditions, only US-born Black older adults continued to show higher odds (OR = 1.54; 95% CI = 1.27-1.87) of diagnosed ADRD compared to US-born White older adults.",Adjusting for education in statistical models reflects its role as a proxy for highest schooling completed.
40469616,lower educational level,Yes,['education_level'],A lower educational level is associated with older age and correlates with lower cognitive scores and functional impairment.,"Entity refers to the highest degree or schooling completed, aligning with education level definition."
40469616,education-adjusted cutoff scores,Yes,['education_level'],"Participants were classified as controls, MCI, or dementia based on education-adjusted cutoff scores of those scales through cognitive system classification tools.",Adjusts cognitive assessment thresholds based on participants' educational attainment.
40203226,education,Yes,['years_of_education'],"We included 1,781 participants (mean age 74.9 ± 12.5 years, mean education 4.8 ± 4.0 years, 49.6% women, and 64.1% White).","Entity refers to cumulative schooling duration, aligning with years_of_education class."
40442881,low education,Yes,['education_level'],The study focused on adults with low education; a group with a high risk for cognitive decline.,Refers to attained educational level affecting cognitive risk.
40331508,lower education,Yes,['education_level'],Lower education may predict 'unfavorable' response to non-elevated Aβ disclosure.,"Lower education refers to the level of schooling completed, directly aligning with education_level."
40245823,education (low to high),Yes,['education_level'],"The following risk factors were associated with the reversion from MCI to normal cognition: education (low to high), age, Mini-Mental State Examination (MMSE)...",Entity refers to varying levels of formal schooling completed.
39878054,education,Yes,['education_level'],"Most ACES were associated with and increased the risk of SCD, even after adjusting for BRFSS year, age, race, education, and employment.","Education is a covariate adjusted for in the analysis, indicating its role as a baseline demographic factor."
39630270,educational attainment,Yes,['education_level'],"Cognitive reserve-enhancing factors were rated during three periods of life-course, namely early-life stage (educational attainment,), adulthood (household income) and late-life stage (weekly physical activity).","Refers to the highest level of schooling completed, directly indicating education level."
39477251,interprofessional learning (IPL),No,['Undefined'],Interprofessional learning (IPL) at undergraduate level can lead to improved collaborative knowledge and skills.,"Entity refers to collaborative educational methodology, not a direct education/literacy factor."
39477251,undergraduate level,Yes,['education_level'],Interprofessional learning (IPL) at undergraduate level can lead to improved collaborative knowledge and skills.,Refers to the highest stage of schooling completed by students.
39180168,years of education,Yes,['years_of_education'],"A composite score, based on the premorbid IQ (WRAT-3 Reading subtest) and years of education was used to estimate CR.",Cumulative schooling duration used to estimate cognitive reserve.
38916196,education,Yes,['education_level'],"Finally, for the normative data, age, gender, and education were associated with performance on the mini-SEA or its subtests.",Education level affects cognitive test performance in ADRD studies.
40264239,years of education,Yes,['years_of_education'],"Furthermore, we developed a Methylation-based Resilience Score (MRS) that successfully predicted future cognitive decline in an external dataset from the Alzheimer's Disease Neuroimaging Initiative (ADNI), even after accounting for age, sex, APOE ε4, years of education, baseline diagnosis, and baseline MMSE score.","Entity refers to cumulative duration of formal schooling, a defined class for education duration."
40163795,education,Yes,['education_level'],We performed multiple regression analyses to examine the associations of specific SLE type with (1) AD pathologies ... including interaction and stratification analyses by gender (women/men) and education.,Stratification by education level in AD pathology analysis.
40163795,less educated participants,Yes,['education_level'],Less educated participants and women reported more grief-related and economic-related SLEs.,"Entity refers to the level of schooling completed, aligning with education level definition."
40200452,level of education,Yes,['education_level'],"white family caregivers, particularly those aged 25-34 with graduate degrees, were more cautious and prone to perceive risks of using AI on social media for recruitment in research.","Refers to highest degree completed, a key education level indicator."
40346835,Number of years of education,Yes,['years_of_education'],"Number of years of education had a greater effect on cognitive performances relative to language dominance, particularly for the common cognitive screening measure, the Montreal Cognitive Assessment.",Refers to cumulative schooling duration affecting cognitive outcomes.
40249614,education,Yes,['years_of_education'],"The model included 4 discordance metrics, participant demographics (gender, age, and education), study partner demographics (gender and cohabitation), and depressive symptoms (GDS score).","Education in demographics refers to duration of schooling, aligning with years_of_education."
40148225,low education,Yes,['education_level'],Lacking a care grade (access to social care) and low education were found to be risk factors for the occurrence of unmet needs in almost all areas.,low education level is a risk factor for unmet needs in dementia care
40148225,education,Yes,['education_level'],"Access to comprehensive care, for example, through a care grade, education and regular visits to the GP, is just as important for meeting needs in various areas as psychosocial measures aimed at reducing loneliness, living alone, and social exclusion.",Low education is identified as a risk factor for unmet needs in dementia care domains.
40072379,government expenditure on education,Yes,['access_to_education'],Boosting expenditure on education may narrow this inequality.,"Government spending on education affects access to learning opportunities, influencing ADRD disparities."
40019132,public education,Yes,['access_to_education'],assess the impact of public education on early detection and management,"Public education refers to the availability and reach of educational resources, aligning with access to education."
40019132,education programs,Yes,['access_to_education'],Education programs using reliable sources are crucial for improving community understanding and management of the disease,Promotes access to educational resources for disease management
40007109,Education,No,['Undefined'],"Qualitative analytical approaches identified themes of 'Empathy,' 'Patient Care and Advocacy,' 'Education,' as well as the cognitive, mental, and physical impact of the experience.","Entity refers to educational themes in curriculum design, not ADRD-related education/literacy impact."
39916679,psychological education,No,['Undefined'],suggesting benefits for psychological education from early life.,"Entity refers to psychological education, not a core education/literacy factor."
39824702,cognitive education,No,['Undefined'],One-hundred twenty-eight older adults with MBI were randomly assigned to either the experimental (n = 64) and cognitive education control group (n = 64).,"Entity refers to an intervention type, not a BSSR education/literacy factor impacting ADRD."
38273182,education level,Yes,['education_level'],"gene-environment interactions with other risk factors such as lifestyle, education level, and access to adequate medical services.","Entity refers to highest schooling completed, a documented ADRD risk modifier."
40283750,Education,Yes,['education_level'],Education significantly mediated the association between PCEs and memory intercept.,Education level mediates cognitive outcomes.
