PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40449109,financial performance,Yes,['financial_stress'],"This study examined the influence of common neurological and psychiatric conditions, i.e., Alzheimer's disease (AD), Parkinson's disease (PD), stroke, and affective disturbances, on financial performance.",Financial performance difficulties are linked to ADRD conditions.
40449109,difficulties in managing money,Yes,['financial_stress'],"Compared to controls, participants with one of the four conditions reported significantly more often having difficulties managing money.",Managing money difficulties indicate financial strain impacting ADRD patients.
40449109,difficulties in managing money,Yes,['financial_stress'],The different diagnoses also predicted both current and future difficulties in managing money and making ends meet.,Managing money difficulties indicate financial strain impacting individuals with ADRD.
40449109,financial performance,Yes,['financial_stress'],"Compared to controls, individuals with PD, AD, stroke, or affective disorders are more prone to experiencing impairments with both current and future financial performance, potentially facing financial difficulties.",Financial performance impairments linked to AD indicate economic hardship.
40449109,financial difficulties,Yes,['financial_stress'],"Compared to controls, individuals with PD, AD, stroke, or affective disorders are more prone to experiencing impairments with both current and future financial performance, potentially facing financial difficulties.",Financial difficulties represent material strain due to insufficient resources.
40561381,Neighborhood disadvantage,Yes,"['socioeconomic_status', 'problem_related_to_housing_and_economic_circumstance']","Living in a socioeconomically disadvantaged neighborhood has an adverse impact on health outcomes, including increased risk of Alzheimer disease (AD).",Neighborhood disadvantage reflects socioeconomic status and living circumstances impacting health.
40561381,Area Deprivation Index (ADI),Yes,"['socioeconomic_status', 'problem_related_to_housing_and_economic_circumstance']","Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.","ADI measures neighborhood disadvantage, reflecting socioeconomic status and housing conditions."
40561381,neighborhood disadvantage,Yes,"['socioeconomic_status', 'problem_related_to_housing_and_economic_circumstance']","Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, p = 0.003) and tau (β = 1.8, p = 0.04) after excluding outliers.",Neighborhood disadvantage reflects socioeconomic status and living circumstances impacting health.
40561381,neighborhood disadvantage,Yes,"['socioeconomic_status', 'problem_related_to_housing_and_economic_circumstance']","Greater neighborhood disadvantage at study entry related to faster longitudinal increases in plasma CRP (β = 0.005, p = 0.03).",Neighborhood disadvantage reflects socioeconomic status and living conditions.
40684246,economic hardship,Yes,"['financial_stress', 'socioeconomic_status']","CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Economic hardship encompasses financial stress and relates to socioeconomic status.
40684246,low income,Yes,['income'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Low income is a measure of monetary earnings available to individuals.
40684246,unemployment,Yes,['employment'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Unemployment is a form of engagement in paid work.
40684246,socioeconomic barriers,Yes,"['socioeconomic_status', 'problem_related_to_housing_and_economic_circumstance']","Our findings emphasize the significance of tailored public health interventions that expand access to quality healthcare, reduce socioeconomic barriers, and broadly mitigate racism's pervasive impact on cognitive health.",Barriers related to economic and social position impact cognitive health.
40684246,socioeconomic disadvantage,Yes,['socioeconomic_status'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Entity represents economic and social position linked to dementia risk.
40684246,poverty,Yes,"['income', 'socioeconomic_status']","Across multiple feedback loops, structural racism emerged as an ""external yet ubiquitous"" force accelerating other drivers of dementia (e.g., poverty, insufficient community investment, and poorer-quality healthcare), demonstrating the complex pathways by which discrimination exacerbates risk in Black communities.",Poverty reflects low income and socioeconomic disadvantage linked to ADRD.
39969227,neighborhood deprivation,Yes,"['socioeconomic_status', 'problem_related_to_housing_and_economic_circumstance']","This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",Neighborhood deprivation reflects socioeconomic status and living circumstances.
39969227,area deprivation index (ADI),Yes,['socioeconomic_status'],"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",ADI reflects socioeconomic status linked to AD risk.
39969227,socioeconomic,Yes,['socioeconomic_status'],"Our findings underscore the importance of incorporating socioeconomic and environmental variables, such as neighborhood deprivation, in predicting preclinical AD.",Entity directly relates to socioeconomic status influencing ADRD risk.
40469616,socioeconomic status,Yes,['socioeconomic_status'],"Factors such as education, socioeconomic status, and limited public health interventions contribute to the development of Alzheimer's disease and other dementias.",Entity directly relates to an individual's economic and social position.
