PMID,ADRD_focus,behavior_social_focus,human_study,include,reason
40223276,True,False,False,False,"The study is not focused on behavioral and social factors and does not involve human participants or data. Although it mentions Alzheimer's disease, its primary focus is on the role of Piezo1 in microglial cells in the context of neuroinflammation and tumorigenesis, which is not directly related to behavioral or social factors."
40480448,True,False,False,False,"The study does not meet the 'behavior_social_focus' and 'human_study' criteria. Although it focuses on Alzheimer's Disease (AD), a type of AD/ADRD, the abstract indicates a review of the pathogenesis and transmission mechanisms of neurodegenerative diseases, including AD, without specifying involvement of human participants or exploration of behavioral/social factors."
40449109,True,True,True,True,"The study focuses on Alzheimer's Disease (AD), a condition related to AD/ADRD, and explores its impact on financial performance, which can be considered a social factor. The study involves human participants from a large European survey."
40441521,True,False,False,False,The study is based on mouse models of Alzheimer's disease and does not involve human participants or data.
40578722,False,False,False,False,"The study does not focus on Alzheimer's Disease or related dementias (AD/ADRD) specifically, and it does not involve human participants or data. It is based on animal models (mouse microglial cells and zebrafish larvae) and does not explore behavioral or social factors."
40555284,True,False,False,False,"The study does not focus on behavioral and social factors related to AD/ADRD and is not a human study, as it involves models of neurodegenerative diseases and discusses optogenetics and biomolecular phase separation."
40555059,True,True,False,False,"The study is a review that includes Alzheimer's Disease, thus meeting the AD/ADRD focus criterion. It also explores the impact of microbiota on behavior and brain function, aligning with the behavioral and social factors focus. However, it does not explicitly involve human participants or data, as it is a review that likely synthesizes findings from various studies, potentially including those based on animal models or in vitro experiments."
40523528,True,True,True,True,"The study meets all three criteria: it focuses on Alzheimer's Disease (AD/ADRD), explores the relationship between AD/ADRD and behavioral or social factors through community-based health education interventions, and involves human data as it's a scoping review of such interventions."
40389043,False,False,True,False,The paper does not primarily focus on AD/ADRD and does not directly explore the relationship between AD/ADRD and behavioral or social factors.
40318342,True,True,True,True,"The study meets all three criteria: it focuses on AD/ADRD, involves human participants/data, and explores aspects related to behavioral or social factors in the context of AD/ADRD."
40220887,True,False,False,False,"The study is a narrative review and does not involve human participants or data directly. Although it focuses on Alzheimer's Disease and related dementias (ADRD), it does not explore the relationship between AD/ADRD and behavioral or social factors."
40210836,True,True,False,False,"The study is based on murine models and in vitro experiments, thus not meeting the 'human_study' criterion."
40187669,True,False,False,False,The study is based on animal models (rats) and does not involve human participants or data.
39950960,True,False,True,False,"The study focuses on Alzheimer's Disease (AD) and dementia detection, meeting the AD/ADRD focus criterion. However, it does not explore the relationship between AD/ADRD and behavioral or social factors, failing the behavioral and social factors focus criterion. It involves human participants, satisfying the human study criterion. Despite meeting two out of three criteria, the study is excluded due to not meeting the behavioral and social factors focus criterion."
39623928,True,True,True,True,"The study meets all three criteria: it focuses on AD/ADRD, explores behavioral and social factors related to AD/ADRD, and involves human participants."
40713707,True,True,True,True,"The study is focused on Alzheimer's Disease, examines the relationship between a behavioral factor (alcohol consumption) and AD biomarkers, and involves human participants."
39909861,True,True,True,True,"The study focuses on Huntington's Disease, which is a related dementia (AD/ADRD), explores the relationship between Huntington's Disease and behavioral factors (psychiatric disturbances), and involves human participants."
40707828,True,False,True,False,The study does not primarily focus on behavioral or social factors related to AD/ADRD.
