PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,No,,,,
40523528,No,,,,
40318342,No,,,,
39623928,No,,,,
40713707,Yes,alcohol consumption,Food,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.","Alcohol is a substance consumed, fitting the Food category."
40713707,Yes,white wine,Food,"After adjustments for multiplicity with FDR, there was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).","White wine is a type of alcoholic beverage, fitting Food."
40713707,Yes,red wine,Food,"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).","Red wine is a type of alcoholic beverage, fitting Food."
40713707,Yes,spirits,Food,"There were no correlations between consumption of specific types of alcohol (spirits, white wine, red wine, fortified wine, and beer) and any of the biomarkers studied in the total sample of cognitively unimpaired participants.","Spirits are a type of alcoholic beverage, fitting Food."
40713707,Yes,fortified wine,Food,"There were no correlations between consumption of specific types of alcohol (spirits, white wine, red wine, fortified wine, and beer) and any of the biomarkers studied in the total sample of cognitively unimpaired participants.","Fortified wine is a type of alcoholic beverage, fitting Food."
40713707,Yes,beer,Food,"There were no correlations between consumption of specific types of alcohol (spirits, white wine, red wine, fortified wine, and beer) and any of the biomarkers studied in the total sample of cognitively unimpaired participants.","Beer is a type of alcoholic beverage, fitting Food."
40713707,Yes,Alzheimer's disease,ADRD,It is largely unknown how alcohol use affects the risk of Alzheimer`s disease (AD).,"Directly mentions Alzheimer's disease, a type of ADRD."
40713707,Yes,CSF biomarkers,ADRD,"Therefore, studies on the influence of alcohol use on cerebrospinal fluid (CSF) biomarkers for the earliest preclinical phase of AD are needed.",CSF biomarkers are used to detect preclinical AD.
40713707,Yes,amyloid-β1-42,ADRD,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",Amyloid-β1-42 is a CSF biomarker for AD.
40713707,Yes,total-tau,ADRD,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",Total-tau is a CSF biomarker for AD.
40713707,Yes,tau phosphorylated at threonine 181,ADRD,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",P-tau181 is a CSF biomarker for AD.
40713707,Yes,neurofilament light protein,ADRD,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",NfL is a CSF biomarker associated with AD.
40713707,Yes,neurogranin,ADRD,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",Neurogranin is a CSF biomarker associated with AD.
39909861,No,,,,
40561381,No,,,,
40651997,No,,,,
40455830,No,,,,
40629265,No,,,,
40693459,No,,,,
40684246,Yes,poor diet,Food,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Poor diet is a food factor linked to dementia risk.
