PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40713707,white wine,Yes,['diet'],"There was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",White wine is a specific type of alcohol consumed as part of dietary patterns.
40713707,red wine,Yes,['diet'],"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).",Red wine is a specific dietary component linked to biomarkers in AD.
40684246,poor diet,Yes,['diet'],"Workshop groups from areas with higher neighborhood deprivation [...] were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Refers to regular consumption patterns affecting health outcomes.
40627435,healthy diet,Yes,['diet'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Regular consumption pattern linked to AD progression.
40082178,nutrition,Yes,['diet'],Limited evidence suggests that better nutrition is associated with favourable AD plasma biomarker profiles...,Refers to dietary patterns influencing AD biomarkers.
40431348,high-glycemic and comfort foods,Yes,['diet'],"During menopause, mood and sleep disturbances can influence dietary behavior, leading to enhanced snacking and consumption of high-glycemic and comfort foods. Such foods, low in nutritional value, promote weight gain and elevated inflammatory markers.",Entity refers to dietary patterns linked to inflammation and ADRD.
40431348,Western diet pattern,Yes,['diet'],Their consumption combined (or not) with a preexisting Western diet pattern-already linked to inflammation-could reinforce systemic inflammation involving the gut-brain axis.,Diet pattern linked to inflammation associated with Alzheimer's disease.
40442881,high polyphenol snacks,Yes,['diet'],"We report the feasibility and cognitive outcomes of a stage 1b randomized trial testing 3 months of home-delivered high polyphenol snacks (e.g., nuts, berries) and online speed of processing training among older adults with 12 or fewer years of education.",Type of food consumed as part of dietary pattern.
40232259,composite score for healthy diet,Yes,['diet'],"Nutrition was assessed using a composite score, comprising 11 components covered by national recommendations for a healthy diet (range = 0-11 points).",Entity represents a dietary assessment tool linked to healthy eating patterns.
40055039,aMED (alternate Mediterranean diet),Yes,['diet'],"Higher aMED score was associated with a lower risk of AD mortality (HR<sub>T3</sub><sub>vs T1</sub>: 0.72, 95 % CI, 0.52-1.00, p-trend = 0.041).",aMED is a dietary pattern linked to cognitive outcomes.
40055039,MIND (Mediterranean-DASH Intervention for Neurodegeneration Delay diet),Yes,['diet'],"Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",Represents a specific dietary pattern linked to cognitive outcomes.
40055039,HEI-2015 (Healthy Eating Index),Yes,['diet'],"Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",HEI-2015 is a dietary index measuring adherence to healthy eating guidelines.
40055039,hPDI (healthful plant-based diet index),Yes,['diet'],"Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",hPDI measures dietary pattern quality linked to cognitive outcomes.
40044393,healthy diet,Yes,['diet'],"We constructed the lifestyle score based on no current smoking, moderate alcohol consumption, regular physical activity, healthy diet, adequate sleep duration, less sedentary behavior, and frequent social contact.",Refers to regular consumption of nutritious foods as part of a healthy lifestyle.
39863327,ultra-processed food,Yes,['diet'],"An interaction of ultra-processed food consumption with age was observed with regard to dementia and Alzheimer's disease (p for interaction = 0.02 and 0.007, respectively).",Type of food consumed affecting Alzheimer's risk.
39791248,Mediterranean diet,Yes,['diet'],"Improvements over time were seen in knowledge of dementia risk reduction, Mediterranean diet adherence, social contact satisfaction, and motivation for physical activity.",Regular dietary pattern linked to dementia risk.
39608496,dietary folate intake,Yes,['diet'],We performed mutation analysis via whole exome and Sanger sequencing in 2431 cases and 1265 healthy controls and the food frequency-based dietary folate intake assessment.,relates to regular consumption of folate through diet
39794733,food security,Yes,['access_to_healthy_and_nutritious_options'],"Data were collected during each survey cycle on self-reported domains of SDoH, which included eight subscales: employment, family income-to-poverty ratio, food security, education level, health insurance coverage, type of health insurance, home ownership, and marital status.","Food security relates to access to adequate and safe food, aligning with availability/affordability of healthy options."
39800460,diet,Yes,['diet'],"A brain-healthy lifestyle was operationalized via two well-validated modifiable dementia risk scores, the LIfestyle for BRAin health (LIBRA) score and the modifiable part of the Australian National University Alzheimer's Disease Risk Index (ANU-ADRI<sub>mod</sub>).",diet is part of brain-healthy lifestyle factors
39799941,maternal overnutrition,Yes,['diet'],"The objective of the present review was to collect available data, suggesting a link between maternal overnutrition and the latter impairment of cognitive functions in the progeny, and to relate this relationship with Alzheimer's disease (AD).",Refers to dietary patterns affecting cognitive outcomes.
39799941,unbalanced maternal diet,Yes,['diet'],We first reviewed studies showing an association between unbalanced maternal diet and cognitive impairments in the progeny in humans and rodent models.,Refers to dietary patterns affecting cognitive outcomes.
39387147,diet,Yes,['diet'],"A lifestyle index was created based on smoking status, alcohol consumption, physical activity, social connections, sleep duration, diet, and sedentary behavior.",Regular food consumption pattern.
39571150,nutrition,Yes,['diet'],"secondary outcomes are cognitive function and lifestyle (physical activity, sleep, nutrition, alcohol and tobacco use, and mental and social activity) behaviors.",nutrition is part of lifestyle diet patterns assessed for cognitive outcomes
39497305,nutritional status,Yes,['Undefined'],Education attainment and nutritional status were significantly associated with MMSE scores in the hospitalized Chinese elderly.,Nutritional status reflects health outcomes from food intake but is not a direct food factor class.
38459948,dietary habits,Yes,['diet'],"The primary outcomes were future directives, dietary habits, and physical activity scores.",Regular food consumption patterns.
39353910,alcohol consumption,Yes,['diet'],"Mediation analysis elucidates that alcohol consumption explained 12.8%, 15.2%, and 11.1% of the associations of probable sarcopenia with the risk of ACD, AD, and VD, respectively.",Alcohol consumption is a dietary pattern linked to dementia risk.
39083787,diet,No,['Undefined'],"Developing adverse lifestyle behaviors increases the risk of a variety of chronic age-related diseases, including cardiovascular disease, obesity, and Alzheimer disease.",Sentence mentions diet as a general lifestyle behavior without specific dietary patterns or food-related mechanisms linked to ADRD.
38971870,alcohol consumption,Yes,['diet'],"The findings revealed that cardiovascular disease had significant positive effects... while alcohol consumption had negative effects of - 0.59, - 9.92, and - 2.32, on men, women, and the overall ADRD mortality rates, respectively.",Alcohol consumption is a dietary component linked to ADRD mortality.
38797480,eating frequency,Yes,['diet'],"Eating frequency, but not eating time window, was positively associated with global cognition, executive and language performance even after controlling for age, sex, education, BMI, and Mediterranean diet.",Regular eating pattern linked to cognitive outcomes.
38797480,time of last eating episode,Yes,['Undefined'],Time of last eating episode was also positively associated with language performance.,"Entity refers to meal timing, not diet content, access, or insecurity."
37876144,Mediterranean Diet-Based Metabolomic Score (MDMS),Yes,['diet'],"A greater adherence to the MD, here assessed by a serum MDMS, is associated with lower odds of CD in older adults.",represents a dietary pattern assessment
38872204,nutritional counseling,Yes,['Undefined'],"The multidomain intervention comprises a combination of 7 lifestyle components (..., nutritional counseling, ...)","Nutritional counseling is a service, not a direct food factor."
38872204,Souvenaid®,Yes,['diet'],"The multidomain intervention comprises a combination of 7 lifestyle components (..., nutritional counseling, ...) and 1 nutritional product (Souvenaid®) that could help maintain cognitive functioning.",Nutritional product integrated into dietary intervention for cognitive health.
38597160,healthy diet,Yes,['diet'],"We examined 555 decedents from the Rush Memory and Aging Project, free of dementia at their initial concurrent report of lifestyle health behaviors of interest (physical, social, and cognitive activities, and healthy diet), and who underwent a postmortem neuropathology evaluation.",Entity refers to dietary patterns linked to health outcomes.
37930366,diet,Yes,['diet'],"Compared to living with others, living alone was associated with worsened physical activity, diet, and subjective memory/thinking, adjusted for sex and age.",Entity refers to regular food consumption patterns impacting dementia risk.
38515359,eat all food evenly without being picky,Yes,['diet'],"In Q10 (eat all food evenly without being picky), the 3-year mean differences in CDR-SB (increases in scores represent worsening) compared to the 'rarely' group were -1.86 [95% confidence interval (CI)=-3.64 - -0.09, p=0.039] for the 'usually' group and -2.23 (95% CI=-4.40 - -0.06, p=0.044) for the 'always' group.",Describes a dietary pattern linked to slower dementia progression.
38515359,add salt or soy sauce to food when eating,Yes,['diet'],"In Q7 (add salt or soy sauce to food when eating), the 3-year mean differences in CDR-SB compared to the 'always' group were -2.47 (95% CI=-4.70 - -0.24, p=0.030) for the 'usually' group and -3.16 (95% CI=-5.36 - -0.96, p=0.005) for the 'rarely' group.",dietary habit affecting dementia progression
37995949,consuming less than one serving of fruits/vegetables per day among adults,Yes,['diet'],"The top three ranked predictors at the county level were insufficient sleep, consuming less than one serving of fruits/vegetables per day among adults, and having less than a high school diploma.",Dietary pattern related to fruit/vegetable intake
