PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,lifestyle modifications,No,[],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Not a food-related entity
40523528,protective behaviors,No,[],"The findings demonstrated significant improvements in dementia knowledge, increased adoption of protective behaviors, and particularly strong effects in collectivist cultural settings.",Not related to Food factor
40713707,alcohol consumption,Yes,['diet'],"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β<sub>1-42</sub> (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",Alcohol consumption is related to dietary patterns.
40713707,white wine,Yes,['diet'],"After adjustments for multiplicity with FDR, there was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",White wine is a type of alcoholic beverage consumed as part of diet.
40713707,red wine,Yes,['diet'],"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).",Red wine is a type of alcoholic beverage consumed as part of diet.
40684246,poor diet,Yes,['diet'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Poor diet is related to dietary patterns and ADRD risk.
40627435,healthy diet,Yes,['diet'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Entity refers to a dietary pattern related to ADRD.
40627435,herbal and nutritional supplements,Yes,['diet'],Some participants thought herbal and nutritional supplements could have some benefits.,Related to dietary patterns and supplements.
40457220,alcohol consumption,No,[],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Not a food factor
40320775,dancing,No,['Undefined'],"BackgroundDancing may be protective for cognitive health among adults with mild cognitive impairment, Alzheimer's disease or dementia;","Entity is related to physical activity, not food factor."
40082178,nutrition,Yes,['diet'],"Limited evidence suggests that better nutrition is associated with favourable AD plasma biomarker profiles and that PA is associated with less plasma NfL and Aβ, whilst poor sleep is associated with elevated plasma Aβ.",Relates to regular food consumption pattern.
40203226,alcohol consumption,No,['Undefined'],"Moderate, heavy, and former heavy alcohol consumptions were associated with hyaline arteriolosclerosis and neurofibrillary tangles.",Alcohol consumption is not a food factor.
