parent,children,css,pss,pda
Family Support,"['Problem in Relationship with Spouse or Partner', 'Problem in Relationship with in Laws', 'Absence of Family Member', 'Disappearance and Death of Family Member', 'Disruption of Family by Separation and Divorce', 'Dependent Relative Needing Care at Home', 'Other Stressful Life Event Affecting Family and Household (category Code)']",0.6389705538749695,0.5911121368408203,0.9419459104537964
Other Specified Problem Related to Upbringing (category Code 2),"['Parent Child Estrangement Nec', 'Sibling Rivalry', 'Runaway [from Current Living Environment]', 'Other Specified Problem Related to Upbringing']",0.5691113471984863,0.6861226558685303,0.8534159660339355
Marital Status,"['Divorced', 'Domestic Partnership', 'Married', 'Never Married', 'Separated', 'Widowed']",0.8031673431396484,0.6831154227256775,0.967614471912384
Non Parental Relative or Guardian Child Conflict,"['Non Parental Relative Child Conflict', 'Non Relative Guardian Child Conflict', 'Group Home Staff Child Conflict']",0.7648393511772156,0.8310871124267578,0.8546161651611328
Other Specified Problem Related to Upbringing (category Code 1),"['Personal History of Abuse in Childhood', 'Non Parental Relative or Guardian Child Conflict', 'Other Specified Problem Related to Upbringing (category Code 2)']",0.6360874176025391,0.7496654391288757,0.7934679985046387
Social Norms and Attitude,"['Discrimination', 'Gender Inequity', 'Racial Disparity']",0.5946488976478577,0.6340920329093933,0.9768065214157104
Interpersonal Support,"['Family Support', 'Friend Support', 'Social Worker Support', 'Other Problem Related to Primary Support Group Including Family Circumstance']",0.7558534145355225,0.725680410861969,0.9747169613838196
Adverse Life Experience,['Adverse Childhood Experience'],,0.8645584583282471,1.0
Inadequate Housing,"['Inadequate Housing Unspecified', 'Inadequate Housing Environmental Temperature', 'Inadequate Housing Utility', 'Other Inadequate Housing']",0.8765414357185364,0.9236340522766113,0.9611058235168457
Adverse Childhood Experience,['Problem Related to Upbringing'],,0.5384930968284607,1.0
Psychosocial Factor,"['Marital Status', 'Stress', 'Adverse Life Experience', 'Interpersonal Relation', 'Social Behaviour', 'Problem Related to Certain Psychosocial Circumstance', 'Problem Related to Other Psychosocial Circumstance']",0.6037958860397339,0.6358901858329773,0.8903634548187256
Safety Concern,"['Family Conflict', 'Violence']",0.8168730139732361,0.7736164331436157,0.9931648969650269
Problem Related to Other Psychosocial Circumstance,"['Problem Related to Other Legal Circumstance', 'Victim of Crime and Terrorism', 'Exposure to Disaster War and Other Hostility', 'Other Specified Problem Related to Psychosocial Circumstance', 'Problem Related to Unspecified Psychosocial Circumstance']",0.6805371642112732,0.7867275476455688,0.7939125895500183
Stress,"['Financial Stress', 'Health Stress', 'Work Stress']",0.8351492285728455,0.8413087725639343,0.9644824862480164
Element Relevant to Social and Community Context,"['Psychosocial Factor', 'Culture', 'Social Support', 'Community Engagement', 'Incarceration', 'Material Deprivation', 'Safety Concern', 'Social Activity', 'Social Deprivation', 'Social Environment', 'Problem Related to Social Environment', 'Social Isolation', 'Social Norms and Attitude']",0.6489846110343933,0.5935248732566833,0.8862586617469788
Other Stressful Life Event Affecting Family and Household (category Code),"['Stress on Family Due to Return of Family Member from Military Deployment', 'Alcoholism and Drug Addiction in Family', 'Other Stressful Life Event Affecting Family and Household']",0.6707868576049805,0.7773323059082031,0.845236599445343
Interpersonal Relation,"['Child Parent Relationship', 'Coworker and Classmate and Roommate Relationship', 'Extended Family Relationship', 'Friend Relationship', 'Parent Child Relationship', 'Sibling Relationship', 'Spouse Relationship']",0.7400810718536377,0.6593868136405945,0.9514632821083069
Child Parent Relationship,['Parent Child Conflict'],,0.9035232067108154,1.0
Problem Related to Upbringing,"['Problem Related to Upbringing Unspecified', 'Inadequate Parental Supervision and Control', 'Parental Overprotection', 'Upbringing Away from Parent', 'Hostility Towards and Scapegoating of Child', 'Inappropriate (excessive) Parental Pressure', 'Other Specified Problem Related to Upbringing (category Code 1)']",0.6263096928596497,0.6798558235168457,0.874549150466919
Discrimination,['Target of (perceived) Adverse Discrimination and Persecution'],,0.46748876571655273,1.0
Other Problem Related to Primary Support Group Including Family Circumstance,"['Other Specified Problem Related to Primary Support Group', 'Problem Related to Unspecified Primary Support Group']",0.8661458492279053,0.8336544036865234,0.9694197177886963
Upbringing Away from Parent,"['Child in Welfare Custody', 'Institutional Upbringing', 'Child in Custody of Non Parental Relative', 'Child in Custody of Non Relative Guardian', 'Other Upbringing Away from Parents']",0.7046520709991455,0.7159814238548279,0.8632233738899231
Financial Insecurity,['Material Hardship Due to Limited Financial Resources Not Elsewhere Classified'],,0.6332834959030151,1.0
Financial Stress,"['Debt', 'Financial Insecurity', 'Housing Instability', 'Job Insecurity', 'Lack of Transportation for Daily Living', 'Transportation Insecurity']",0.6833783388137817,0.67533940076828,0.9123861193656921
Social Environment,"['Social Characteristic', 'Social Conflict', 'Social Disorder', 'Social Integration', 'Social Justice', 'Social Vulnerability']",0.7744255661964417,0.8220288753509521,0.9146445989608765
Personal History of Abuse in Childhood,"['Personal History of Physical and Sexual Abuse in Childhood', 'Personal History of Psychological Abuse in Childhood', 'Personal History of Neglect in Childhood', 'Personal History of Forced Labor or Sexual Exploitation in Childhood', 'Personal History of Child Financial Abuse', 'Personal History of Intimate Partner Abuse in Childhood', 'Personal History of Unspecified Abuse in Childhood']",0.8590953350067139,0.9081182479858398,0.9561859965324402
Insufficient Social Insurance and Welfare Support,['Insufficient Welfare Support'],,0.8967989683151245,1.0
Absence of Family Member,"['Absence of Family Member Due to Military Deployment', 'Other Absence of Family Member']",0.847036600112915,0.9153891205787659,0.9338513612747192
Housing Instability,"['Housed with Housing Instability Risk of Homelessness', 'Housed with Housing Instability and  Homelessness in Past 12 Months', 'Housed with Housing Instability Unspecified', 'Inadequate Housing']",0.7695002555847168,0.8121142983436584,0.9356011152267456
Food Assistance,['Food Bank'],,0.7883583307266235,1.0
