PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,No,,,,
40523528,Yes,lifestyle modifications,Food,"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Lifestyle modifications can include dietary changes
40523528,Yes,Alzheimer's disease,ADRD,"A scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",Directly related to Alzheimer's disease prevention
40523528,Yes,dementia prevention,ADRD,"A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Dementia prevention is related to ADRD
40523528,Yes,protective behaviors,Food,"The findings demonstrated significant improvements in dementia knowledge, increased adoption of protective behaviors, and particularly strong effects in collectivist cultural settings.",Protective behaviors can include healthy dietary habits
40318342,No,,,,
39623928,No,,,,
40713707,Yes,alcohol consumption,Food,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β<sub>1-42</sub> (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",Alcohol consumption affects AD biomarkers
40713707,Yes,white wine,Food,"After adjustments for multiplicity with FDR, there was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",White wine associated with AD biomarker Ng
40713707,Yes,red wine,Food,"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).",Red wine intake linked to AD biomarker Ng
40713707,Yes,Alzheimer's disease,ADRD,It is largely unknown how alcohol use affects the risk of Alzheimer`s disease (AD).,AD risk affected by alcohol use
40713707,Yes,amyloid-β<sub>1-42</sub>,ADRD,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β<sub>1-42</sub> (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",AD biomarker related to alcohol consumption
40713707,Yes,neurogranin (Ng),ADRD,"After adjustments for multiplicity with FDR, there was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",Ng associated with white wine consumption
39909861,No,,,,
40561381,No,,,,
40651997,No,,,,
40455830,No,,,,
40629265,No,,,,
40693459,No,,,,
40684246,Yes,poor diet,Food,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Poor diet linked to dementia risk
40684246,Yes,dementia risk,ADRD,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Dementia risk associated with poor diet
40684246,Yes,Alzheimer's disease and related dementias (ADRD),ADRD,Alzheimer's disease and related dementias (ADRD) disproportionately affect Black Americans compared to non-Hispanic White individuals.,ADRD affects Black Americans disproportionately
40684246,Yes,dementia,ADRD,Addressing dementia disparities requires targeting modifiable social and structural drivers.,Dementia disparities need to be addressed
40684246,Yes,dementia risk,ADRD,"Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies (e.g., political engagement, equitable public resource allocation)-to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.",Dementia risk to be mitigated
40660738,No,,,,
40627435,Yes,Alzheimer's disease,ADRD,Latinos experience significant health disparities for Alzheimer's disease (AD) with an increased likelihood in developing the disease relative to non-Latino Whites.,AD is a type of dementia
40627435,Yes,healthy diet,Food,A few suggested that a healthy diet and exercise could help slow the progression of AD.,Diet is a food-related factor
40627435,Yes,herbal and nutritional supplements,Food,Some participants thought herbal and nutritional supplements could have some benefits.,Supplements are related to food intake
40627435,Yes,AD,ADRD,A few suggested that a healthy diet and exercise could help slow the progression of AD.,AD is a type of dementia
40621962,No,,,,
40597399,No,,,,
40518812,No,,,,
40451134,No,,,,
40443135,No,,,,
40403677,No,,,,
40397128,No,,,,
40325979,No,,,,
40294330,No,,,,
40288270,No,,,,
39968751,No,,,,
39550616,No,,,,
37647340,No,,,,
40587504,No,,,,
40515617,No,,,,
40332047,No,,,,
39969227,No,,,,
40466093,No,,,,
40457220,Yes,Mild Cognitive Impairment,ADRD,"Mild Cognitive Impairment (MCI) is a critical transitional stage between normal aging and Alzheimer's disease, and its early identification is essential for delaying disease progression.",MCI is a precursor to Alzheimer's disease
40457220,Yes,Alzheimer's disease,ADRD,"Mild Cognitive Impairment (MCI) is a critical transitional stage between normal aging and Alzheimer's disease, and its early identification is essential for delaying disease progression.",Alzheimer's disease is a type of dementia
40457220,Yes,alcohol consumption,Food,"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Alcohol consumption is related to dietary habits
40456118,No,,,,
40545557,No,,,,
40524437,No,,,,
40432270,No,,,,
40340427,No,,,,
40320775,Yes,dancing,Food,"BackgroundDancing may be protective for cognitive health among adults with mild cognitive impairment, Alzheimer's disease or dementia;","Not Food, actually Behavior and Lifestyle"
