PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,community-based health education,Yes,"['education_level', 'education_quality']","A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Impacts dementia prevention through health education interventions.
40523528,health knowledge lectures,Yes,['education_quality'],"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",Relates to the effectiveness of educational interventions for ADRD.
39623928,duration of education,Yes,['years_of_education'],"Caregiver relationship was significantly associated with patient age, sex, duration of education, cohabitation status, total NPI-Q score, and number of NPI-Q domains.",Duration of education relates to years spent in formal schooling.
39623928,duration of school education,Yes,['years_of_education'],"Caregiver (oldest daughter), duration of school education, age, and total HDS-R and MMSE scores were significantly associated with NPI-Q total score and number of NPI-Q domains.",Duration of school education relates to years of education.
40684246,health education,Yes,['literacy'],"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.",Health education relates to literacy in understanding health information.
40684246,health literacy campaigns,Yes,['literacy'],"Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies (e.g., political engagement, equitable public resource allocation)-to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.",Relates to literacy through health literacy campaigns.
40660738,Educational attainment,Yes,['education_level'],"We investigated whether older adults with subjective memory complaints (SMC) and amyloid-β accumulation may show clinical progression over 2 years, as measured by resting-state electroencephalographic (rsEEG), structural magnetic resonance imaging (sMRI), and cognitive variables, depending on educational attainment.",Educational attainment reflects the highest education level achieved.
40621962,culturally tailored education,Yes,['education_quality'],"Effective strategies involved long-term community engagement, culturally tailored education, participatory methods, and logistical support.",Tailored education implies quality and effectiveness in education.
40621962,culturally tailored educational materials,Yes,"['education_quality', 'literacy']","Successful engagement strategies encompass building trust through long-term community involvement, utilizing culturally tailored educational materials, and forming partnerships with community-based organizations.",Culturally tailored education implies quality and literacy.
40288270,education,Yes,"['years_of_education', 'education_level']",This suggest that education plays a protective role against white matter pathology among individuals at risk for cognitive impairment.,Education level impacts cognitive reserve and decline.
40288270,cognitive reserve,Yes,"['education_level', 'years_of_education']","Cognitive reserve, often reflected by education, may protect against cognitive decline linked to brain pathology.",Cognitive reserve is related to education level.
39968751,education,Yes,['education_level'],"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Refers to the level of education attained by caregivers.
39550616,dementia education,Yes,['access_to_education'],"Physiotherapists require ""greater opportunity for mentoring and education on dementia care""",Mentoring and education imply access to learning opportunities.
39550616,future dementia education,Yes,['education_level'],"inform future dementia education, research, and professional organization advocacy initiatives",Refers to education related to dementia care
