PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,lifestyle modifications,Yes,['behavior_change'],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Lifestyle modifications imply changes in behavior or habits.
40523528,protective behaviors,Yes,['behavior_change'],"The findings demonstrated significant improvements in dementia knowledge, increased adoption of protective behaviors, and particularly strong effects in collectivist cultural settings.",Adopting protective behaviors indicates a change in behavior.
40523528,multimodal interventions,Yes,['behavior_change'],"Most notably, multimodal interventions showed synergistic benefits for both cognitive performance and community health aging outcomes.",Modifications in lifestyle through multiple intervention approaches.
40713707,alcohol consumption,Yes,['substance_use'],"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β<sub>1-42</sub> (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",Alcohol consumption is related to substance use.
40713707,alcohol use,Yes,['substance_use'],"Therefore, studies on the influence of alcohol use on cerebrospinal fluid (CSF) biomarkers for the earliest preclinical phase of AD are needed.",Alcohol use is related to substance consumption habits.
40713707,white wine,Yes,['substance_use'],"After adjustments for multiplicity with FDR, there was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",Alcohol consumption is related to substance use.
40713707,red wine,Yes,['substance_use'],"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).",Red wine is a type of alcohol consumption.
40651997,driving behavior,Yes,['behavior_change'],The DRIVES Project at Washington University School of Medicine has developed a pipeline to measure naturalistic driving behavior of older adult drivers enrolled in longitudinal studies of aging and ADRD.,Driving behavior is related to observable actions and habits.
40651997,managing finances,No,[],"Outside of biomarkers that measure pathology, there is a lack of methods to quantify and study complex behaviors such as driving and managing finances that precede cognitive decline among older adults.","Entity is related to cognitive decline, not a BSSR factor."
40629265,music therapy,Yes,['treatment_adherence_and_compliance'],"Apart from curative pharmacological therapies, music therapy (MT) has been diffusely used as an efficient and economical non-pharmacological treatment for AD patients in recent years.",Music therapy is a non-pharmacological treatment approach.
40629265,music therapy,Yes,['treatment_adherence_and_compliance'],"42 literatures included in the study, which highlights the beneficial impact of MT on cognition (memory, attention, language), behavioural and psychological symptoms (anxiety, depression and agitation), quality of life, self-esteem and physical pain in AD patients.",Music therapy is a non-pharmacological treatment approach.
40693459,24-hour activity cycle,Yes,"['physical_activity', 'sleep']","The 24-hour activity cycle (24-HAC) includes physical activity (PA), sedentary behavior (SB), and sleep.","Includes physical activity and sleep, relevant to ADRD."
40693459,physical activity,Yes,['physical_activity'],"Higher moderate-to-vigorous physical activity (MVPA) relative to remaining behaviors was associated with greater right inferior temporal gyrus volume (ß = 0.30, false-discovery rate (FDR)-corrected-p = 0.030).",Entity is related to bodily movement enhancing health.
40693459,sedentary behavior,Yes,['physical_activity'],"Higher SB relative to remaining behaviors was associated with lower volume in the same region (ß = -0.45, FDR-corrected-p = 0.015).",Sedentary behavior is related to physical activity levels.
40693459,moderate-to-vigorous physical activity,Yes,['physical_activity'],More moderate-to-vigorous physical activity (MVPA) is linked with greater inferior temporal volume in older adults with MCI.,Entity represents a type of physical activity.
40684246,stress,Yes,['substance_use'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.","Not a perfect fit, but closest to substance use or Undefined"
40684246,stress,Yes,['Undefined'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Stress is not directly classified under the given categories.
40684246,poor diet,Yes,['diet'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Poor diet is related to dietary habits and nutrition.
40627435,mental stimulation,Yes,['behavior_change'],Many believed activities for mental stimulation could help enhance cognitive functioning.,Engaging in mental stimulation is a modifiable behavior.
40627435,healthy diet,Yes,['diet'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Entity 'healthy diet' relates to dietary habits affecting ADRD.
40627435,exercise,Yes,['physical_activity'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Exercise is a form of physical activity that enhances health.
40627435,emotional wellness,Yes,['Undefined'],Some participants believed that emotional wellness and degree of support influenced AD progression.,Not directly related to existing behavioral or social factor labels.
40627435,degree of support,Yes,['Undefined'],Some participants believed that emotional wellness and degree of support influenced AD progression.,Not directly related to a specific behavior or lifestyle class.
40325979,sleep disturbances,Yes,['sleep'],"Despite discrepancies between self-reported and objective prevalence rates, sleep disturbances are highly prevalent in memory clinics and impact cognition, necessitating further examination.",Relates to sleep quality and disturbances.
40325979,sleep duration,Yes,['sleep'],"Prolonged sleep predicted deficits in global cognition, processing speed, memory, and executive function and a higher risk of aMCI (all p < 0.05).",Prolonged sleep is related to sleep duration.
40325979,insomnia,Yes,['sleep'],"Insomnia affected 12.0%, 54.3% had poor sleep quality, and 14.2% endorsed RBD symptoms.",Insomnia is a sleep disorder affecting sleep quality.
40325979,sleep quality,Yes,['sleep'],Poor sleep quality was linked to better memory (p < 0.05).,Sleep quality affects cognitive function and memory.
40288270,education,Yes,['Undefined'],This suggest that education plays a protective role against white matter pathology among individuals at risk for cognitive impairment.,"Education is a socio-demographic factor, not a clear behavior"
39550616,physiotherapy,No,['Undefined'],Physiotherapists play a crucial role in caring for people with dementia.,"Physiotherapy is a treatment, not a lifestyle or behavior factor."
39550616,physical environment,Yes,['Undefined'],optimizing the physical environment,Not directly related to listed behavior or lifestyle factors.
39550616,collaborative care,Yes,['treatment_adherence_and_compliance'],collaborative care (subthemes: working with care partners; working as an interdisciplinary team),Collaborative care implies working together for effective treatment
37647340,technology-based compensatory behaviors,Yes,['behavior_change'],"The current study examined whether greater use of technology to help with daily tasks is associated with less subjective cognitive decline (SCD), especially in individuals with a family history of Alzheimer's disease (AD).",Modifies daily actions to compensate for cognitive decline.
37647340,physical activity,Yes,['physical_activity'],"However, a family history of AD moderated the association between technology use and SCD even when controlling for another protective lifestyle factor, physical activity.",Protective lifestyle factor related to bodily movement.
40457220,alcohol consumption,Yes,['substance_use'],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Alcohol consumption is related to substance use.
40457220,life satisfaction,Yes,['Undefined'],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Not directly related to existing behavioral or social factor labels.
40320775,dancing,Yes,['physical_activity'],"BackgroundDancing may be protective for cognitive health among adults with mild cognitive impairment, Alzheimer's disease or dementia;",Dancing is a form of physical activity.
40320775,dance behavior,Yes,['physical_activity'],"BackgroundDancing may be protective for cognitive health among adults with mild cognitive impairment, Alzheimer's disease or dementia; however, additional methods are needed to characterize motor behavior quality in studies of dance.",Dancing is a form of physical activity.
40298273,compulsive behaviors,Yes,['behavior_change'],Here we present the case of a 56-year-old right-handed White male who developed osteomyelitis and empyema after repetitive compulsive excoriation rituals.,Compulsive behaviors indicate abnormal behavior patterns.
40298273,behavioral agitation,No,['Undefined'],"His recent history included profound personality changes, apathy, loss of empathy, limited insight, behavioral agitation, and episodic memory loss.","Behavioral agitation is a symptom, not a lifestyle factor."
40298273,personality changes,No,[],"His recent history included profound personality changes, apathy, loss of empathy, limited insight, behavioral agitation, and episodic memory loss.","Entity is a symptom of bvFTD, not a lifestyle factor."
40267299,music therapy,Yes,['treatment_adherence_and_compliance'],Music therapy may be especially beneficial for individuals with ADRD and their caregivers as music is a form of non-verbal communication.,Music therapy is a non-pharmacological intervention approach.
40267299,group music therapy,Yes,['treatment_adherence_and_compliance'],"In this case series, we describe a 12-week group music therapy program for individuals with ADRD and their caregivers.",The entity is related to a non-pharmacological intervention.
40267299,non-pharmacological interventions,Yes,['treatment_adherence_and_compliance'],"As pharmacological interventions for ADRD are often ineffective and cause rampant side effects, interest has increased in finding adjunctive, non-pharmacological approaches.",Relates to non-pharmacological approaches for ADRD management.
40267299,interpersonal behavioral and neural synchrony,No,['Undefined'],"Future studies should examine the effects of music therapy on behavioral and neural outcomes, especially as it relates to interpersonal behavioral and neural synchrony.",Not a direct behavior or lifestyle factor related to ADRD.
40261292,obesity,Yes,['diet'],This study demonstrates that obesity is associated with a heightened burden of NPS in AD dementia patients.,Obesity is related to dietary habits and consumption.
