PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,Yes,financial performance,Economic_stability,"This study examined the influence of common neurological and psychiatric conditions, i.e., Alzheimer's disease (AD), Parkinson's disease (PD), stroke, and affective disturbances, on financial performance.",Financial performance is an economic stability factor linked to ADRD.
40449109,Yes,difficulties in managing money,Economic_stability,"Compared to controls, participants with one of the four conditions reported significantly more often having difficulties managing money. Within the AD group, over half of the participants reported these difficulties.",AD is associated with economic stability challenges in money management.
40449109,Yes,Alzheimer's disease (AD),AD/ADRD,"Compared to controls, individuals with PD, AD, stroke, or affective disorders are more prone to experiencing impairments with both current and future financial performance, potentially facing financial difficulties.",AD is a primary focus of the study's economic stability analysis.
40523528,No,Alzheimer's disease,AD/ADRD,"A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Study focuses on Alzheimer's disease prevention.
40523528,No,cognitive functioning,AD/ADRD,"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Cognitive functioning is an outcome measured in ADRD studies.
40318342,No,Alzheimer's Disease,AD/ADRD,To identify studies that explored pharmacists' knowledge and attitudes regarding Alzheimer's Disease (AD).,"Study focuses on pharmacists' knowledge of AD, not economic stability impact."
39623928,No,,,,
40713707,No,,,,
39909861,No,,,,
40561381,Yes,Area Deprivation Index (ADI),Economic_stability,"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.","ADI includes income as a component, a key economic stability factor."
40561381,Yes,Alzheimer disease (AD) biomarkers,AD/ADRD,"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, p = 0.003) and tau (β = 1.8, p = 0.04) after excluding outliers.",CSF YKL-40 and tau are core AD pathology biomarkers.
40561381,Yes,Plasma high-sensitivity C-reactive protein (CRP),AD/ADRD,"Greater neighborhood disadvantage at study entry related to faster longitudinal increases in plasma CRP (β = 0.005, p = 0.03).",CRP is an inflammatory biomarker linked to AD pathology.
40651997,Yes,Area Deprivation Index,Economic_stability,"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Area Deprivation Index is a socioeconomic measure linked to economic stability.
40651997,Yes,Social Vulnerability Index,Economic_stability,"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Social Vulnerability Index reflects economic and social deprivation factors.
40651997,Yes,Alzheimer's disease and related dementia (ADRD),AD/ADRD,Alzheimer's disease and related dementia (ADRD) are becoming increasingly prevalent and are predicted to affect up to 153 million globally by 2050.,ADRD is the primary health outcome studied in the paper.
40455830,No,,,,
40629265,Yes,economical,Economic_stability,music therapy (MT) has been diffusely used as an efficient and economical non-pharmacological treatment for AD patients in recent years.,"Refers to cost-effectiveness, an economic stability aspect."
40629265,Yes,Alzheimer's disease,AD/ADRD,music therapy (MT) has been diffusely used as an efficient and economical non-pharmacological treatment for AD patients in recent years.,The primary disease focus of the study.
40693459,No,mild cognitive impairment (MCI),AD/ADRD,The 24-hour activity cycle (24-HAC) composition and brain health relationship in adults with mild cognitive impairment (MCI) remains underexplored.,MCI is a precursor to Alzheimer's disease.
40693459,No,Alzheimer's disease-related atrophy,AD/ADRD,Increasing MVPA at the expense of SB may protect GM in regions prone to Alzheimer's disease-related atrophy.,Directly references Alzheimer's disease pathology.
40684246,Yes,economic hardship,Economic_stability,"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Economic hardship linked to reduced healthcare access and increased dementia risk.
40684246,Yes,low income,Economic_stability,"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Low income associated with reduced healthcare access and dementia risk.
40684246,Yes,unemployment,Economic_stability,"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Unemployment linked to reduced healthcare access and dementia risk.
40684246,Yes,neighborhood deprivation,Economic_stability,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Neighborhood deprivation linked to socioeconomic disadvantage and dementia risk.
40684246,Yes,dementia risk,AD/ADRD,"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Dementia risk associated with economic hardship factors.
40684246,Yes,Alzheimer's disease and related dementias (ADRD),AD/ADRD,Alzheimer's disease and related dementias (ADRD) disproportionately affect Black Americans compared to non-Hispanic White individuals.,ADRD explicitly mentioned as the health outcome.
40660738,No,,,,
40627435,No,Alzheimer's disease,AD/ADRD,Latinos experience significant health disparities for Alzheimer's disease (AD) with an increased likelihood in developing the disease relative to non-Latino Whites.,The study focuses on Alzheimer's disease as the primary health outcome.
40621962,No,,,,
40518812,No,Alzheimer's disease,AD/ADRD,"Most patients (95.3%) had dementia (68.7% of whom had Alzheimer's disease), and 70.6% were concomitantly treated with anti-dementia drugs.",Study population includes patients with Alzheimer's disease.
40451134,No,social determinants of health (SDOH),Economic_stability,"Bonferroni-adjusted analyses were performed overall, by ancestry, by sex, and with adjustment for social determinants of health (SDOH).",SDOH includes economic stability factors like income and socioeconomic status.
40451134,No,Alzheimer's disease,AD/ADRD,"PheWAS identified 17 significant associations, including increased odds of hyperlipidaemia... dementia, and Alzheimer's disease (OR 1.55 [1.40-1.70]; P = 5 × 10^-19).",Directly mentions Alzheimer's disease as an outcome.
40443135,No,,,,
40403677,No,dementia/Alzheimer's disease,AD/ADRD,"Patients diagnosed with schizophrenia (p = 0.034), bipolar disorder (p = 0.016), depression (p = 0.008), obsessive-compulsive disorder (p = 0.015) and dementia/Alzheimer's disease (p = 0.003) were more likely to be compliant with treatments whereas patients affected by stress or post-traumatic stress disorder were significantly less complaint (p = 0.015 and p = 0.006, respectively).",Directly mentions dementia/Alzheimer's disease as a diagnosis category.
40397128,No,,,,
40325979,No,,,,
40294330,No,young-onset dementia,AD/ADRD,To assess the effectiveness of a support and training group specifically targeted towards spouses of individuals with young onset dementia and its impact on reducing caregiver burden.,Young-onset dementia is a subtype of ADRD.
40288270,No,education,Economic_stability,"Cognitive reserve, often reflected by education, may protect against cognitive decline linked to brain pathology.","Education is a proxy for cognitive reserve, not directly an economic stability factor."
40288270,No,white matter lesions (WMLs),AD/ADRD,"White matter lesions (WMLs), common in aging, are associated with the progression from healthy cognitive status (HC) to mild cognitive impairment (MCI).",WMLs are linked to cognitive decline and MCI progression.
39968751,No,,,,
39550616,No,dementia,AD/ADRD,Dementia is a leading cause of disability.,Dementia is the primary health condition studied.
37647340,No,,,,
40587504,No,higher income level,Economic_stability,"Residents aged 18-39, living in urban areas, with higher education or above, working in healthcare, having a higher income level, being unmarried, and having experience in Alzheimer's Disease and Related Dementias (ADRD) knowledge training have a higher level of knowledge about AD and a more positive attitude towards it.","Higher income level is linked to AD knowledge, a socioeconomic factor."
40587504,No,Alzheimer's Disease and Related Dementias (ADRD),AD/ADRD,Residents with family members suffering from ADRD have lower DAS scores than those without such family members.,ADRD is the health outcome studied in relation to social attitudes.
40515617,No,Alzheimer's disease and related dementias,AD/ADRD,"Cognitive diversity includes normative age-related changes in cognition, mild cognitive impairment (MCI), and more severe impairments such as dementia. The causes and nature of these cognitive impairments (CIs) are varied, extending beyond MCI and Alzheimer's disease and related dementias to encompass stroke, Parkinson's disease, and traumatic brain injury.",Directly mentions Alzheimer's disease and related dementias as a cognitive impairment.
40515617,No,Dementia,AD/ADRD,"Cognitive diversity includes normative age-related changes in cognition, mild cognitive impairment (MCI), and more severe impairments such as dementia.",Dementia is a key outcome in ADRD research.
40332047,No,,,,
39969227,Yes,area deprivation index (ADI),Economic_stability,"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.","ADI measures socioeconomic deprivation, a key economic stability factor."
39969227,Yes,socioeconomic disparities,Economic_stability,Addressing socioeconomic disparities through public health strategies is crucial for mitigating AD risk and enhancing the quality of life for older adults.,Socioeconomic disparities directly relate to economic stability and AD risk.
39969227,Yes,preclinical Alzheimer's disease (AD),AD/ADRD,"Our findings underscore the importance of incorporating socioeconomic and environmental variables, such as neighborhood deprivation, in predicting preclinical AD.",Preclinical AD is the health outcome linked to socioeconomic factors.
40466093,No,care partners,AD/ADRD,"People living with dementia are highly dependent on family and friend care partners, who may have little knowledge of the disorder.",Refers to individuals supporting dementia patients.
40466093,No,dementia,AD/ADRD,The prevalence of dementia is increasing in Canada and in many countries internationally.,Primary focus of the study as the health condition.
40466093,No,web-based education,AD/ADRD,"We developed a web- and email-based dementia education platform for care partners, iGeriCare, which includes 12 asynchronous, multimedia, e-learning lessons and email-based content to reinforce the learning.",Intervention targeting dementia care support.
40457220,No,Alzheimer's disease,AD/ADRD,"Mild Cognitive Impairment (MCI) is a critical transitional stage between normal aging and Alzheimer's disease, and its early identification is essential for delaying disease progression.",Directly mentioned as the endpoint of MCI progression.
