ID	LABEL	Type
ID	A rdfs:label	TYPE
ex:ADAS	Alzheimer’s_Disease_Assessment_Scale
ex:APOEGenotyping	Apolipoprotein_E_Genotyping
ex:AttentionAndCalculationItem	Attention_and_Calculation_Item
ex:BehaviouralAssessment	Behavioural_Assessment
ex:CCI	Cognitive_Change_Index
ex:CDR	Clinical_Dementia_Rating_Scale
ex:CDRItem	CDR_Item
ex:CDR_CommunityAffairsItem	CDR_Community_Affairs_Item
ex:CDR_HomeAndHobbiesItem	CDR_Home_and_Hobbies_Item
ex:CDR_JudgementAndProblemSolvingItem	CDR_Judgement_and_Problem_Solving_Item
ex:CDR_MemoryItem	CDR_Memory_Item
ex:CDR_OrientationItem	CDR_Orientation_Item
ex:CDR_PersonalCareItem	CDR_Personal_Care_Item
ex:CheckItem	Check_Item
ex:ClinicalExam	Clinical_Exam
ex:CognitiveAssessment	Cognitive_Assessment
ex:CopyingItem	Copying_Item
ex:DNA_MethylationProfiling	DNA_Methylation_Profiling
ex:DailyFunctioningItem	Daily_Functioning_Item
ex:DepressionItem	Depression_Item
ex:ECG	Electrocardiography
ex:EatingItem	Eating_Item
ex:EvaluationItem	Evaluation_Item
ex:Examination	Examination
ex:FAQ	Functional_Activities_Questionnaire
ex:FAQItem	FAQ_Item
ex:FAQ_BeveragesItem	FAQ_Beverages_Item
ex:FAQ_EventsItem	FAQ_Events_Item
ex:FAQ_FinancesItem	FAQ_Finances_Item
ex:FAQ_FormsItem	FAQ_Forms_Item
ex:FAQ_GamesItem	FAQ_Games_Item
ex:FAQ_MealItem	FAQ_Meal_Item
ex:FAQ_MemoryItem	FAQ_Memory_Item
ex:FAQ_ShopItem	FAQ_Shop_Item
ex:FAQ_TelevisionItem	FAQ_Television_Item
ex:FAQ_TravelItem	FAQ_Travel_Item
ex:FCI-SF	Financial_Capacity_Instrument_Short_Form
ex:FunctionalAssessment	Functional_Assessment
ex:GDS	Geriatric_Depression_Scale
ex:GDSItem	GDS_Item
ex:GDS_AliveFeelingItem	GDS_Alive_Feeling_Item
ex:GDS_BoredomeItem	GDS_Boredome_Item
ex:GDS_DroppingItem	GDS_Dropping_Item
ex:GDS_EmptinessItem	GDS_Emptiness_Item
ex:GDS_EnergyItem	GDS_Energy_Item
ex:GDS_FearItem	GDS_Fear_Item
ex:GDS_GoodSpiritItem	GDS_Good_Spirit_Item
ex:GDS_HappinessItem	GDS_Happiness_Item
ex:GDS_HelplessnessItem	GDS_Helplessness_Item
ex:GDS_HomeStayingItem	GDS_Home_Staying_Item
ex:GDS_HopeItem	GDS_Hope_Item
ex:GDS_MemoryItem	GDS_Memory_Item
ex:GDS_PeopleItem	GDS_People_Item
ex:GDS_SatisfactionItem	GDS_Satisfaction_Item
ex:GDS_WorthlessItem	GDS_Worthless_Item
ex:GeneExpression	Gene_Expression
ex:GeneticExam	Genetic_Exam
ex:Genotyping	Genotyping
ex:LanguageItem	Language_Item
ex:MHIS	Modified_Hachinski_Ischemia_Scale
ex:MMSE	Mini-Mental_State_Examination
ex:MMSEItem	MMSE_Item
ex:MMSE_AttentionAndCalculationItem_1	MMSE_Attention_and_Calculation_Item_1
ex:MMSE_AttentionAndCalculationItem_2	MMSE_Attention_and_Calculation_Item_2
ex:MMSE_AttentionAndCalculationItem_3	MMSE_Attention_and_Calculation_Item_3
ex:MMSE_AttentionAndCalculationItem_4	MMSE_Attention_and_Calculation_Item_4
ex:MMSE_AttentionAndCalculationItem_5	MMSE_Attention_and_Calculation_Item_5
ex:MMSE_LanguageItem_1	MMSE_Language_Item_1
ex:MMSE_LanguageItem_2	MMSE_Language_Item_2
ex:MMSE_LanguageItem_3	MMSE_Language_Item_3
ex:MMSE_LanguageItem_4	MMSE_Language_Item_4
ex:MMSE_LanguageItem_5	MMSE_Language_Item_5
ex:MMSE_LanguageItem_6	MMSE_Language_Item_6
ex:MMSE_LanguageItem_7	MMSE_Language_Item_7
ex:MMSE_LanguageItem_8	MMSE_Language_Item_8
ex:MMSE_LanguageItem_9	MMSE_Language_Item_9
ex:MMSE_OrientationItem_1	MMSE_Orientation_Item_1
ex:MMSE_OrientationItem_10	MMSE_Orientation_Item_10
ex:MMSE_OrientationItem_2	MMSE_Orientation_Item_2
ex:MMSE_OrientationItem_3	MMSE_Orientation_Item_3
ex:MMSE_OrientationItem_4	MMSE_Orientation_Item_4
ex:MMSE_OrientationItem_5	MMSE_Orientation_Item_5
ex:MMSE_OrientationItem_6	MMSE_Orientation_Item_6
ex:MMSE_OrientationItem_7	MMSE_Orientation_Item_7
ex:MMSE_OrientationItem_8	MMSE_Orientation_Item_8
ex:MMSE_OrientationItem_9	MMSE_Orientation_Item_9
ex:MMSE_OrientationItem_V_1	MMSE_Orientation_Item_V_1
ex:MMSE_OrientationItem_V_10	MMSE_Orientation_Item_V_10
ex:MMSE_OrientationItem_V_2	MMSE_Orientation_Item_V_2
ex:MMSE_OrientationItem_V_3	MMSE_Orientation_Item_V_3
ex:MMSE_OrientationItem_V_4	MMSE_Orientation_Item_V_4
ex:MMSE_OrientationItem_V_5	MMSE_Orientation_Item_V_5
ex:MMSE_OrientationItem_V_6	MMSE_Orientation_Item_V_6
ex:MMSE_OrientationItem_V_7	MMSE_Orientation_Item_V_7
ex:MMSE_OrientationItem_V_8	MMSE_Orientation_Item_V_8
