PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,No,Alzheimer's disease (AD),AD/ADRD,"This study examined the influence of common neurological and psychiatric conditions, i.e., Alzheimer's disease (AD), Parkinson's disease (PD), stroke, and affective disturbances, on financial performance.",AD is a primary focus of the study as a neurological condition.
40523528,Yes,community-based health education interventions,Healthcare,This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches...,Interventions target Alzheimer's prevention through healthcare education.
40523528,Yes,multimodal interventions,Healthcare,"Most notably, multimodal interventions showed synergistic benefits for both cognitive performance and community health aging outcomes.",Multimodal approaches improve cognitive outcomes in Alzheimer's prevention.
40523528,Yes,cognitive performance,AD/ADRD,"Most notably, multimodal interventions showed synergistic benefits for both cognitive performance and community health aging outcomes.",Cognitive performance is a key outcome in Alzheimer's prevention studies.
40318342,Yes,pharmacists' knowledge and attitudes,Healthcare,To identify studies that explored pharmacists' knowledge and attitudes regarding Alzheimer's Disease (AD).,Relates to healthcare professionals' understanding and approach to ADRD.
40318342,Yes,Alzheimer's Disease Knowledge Scale,Healthcare,"Most studies were conducted in Asia (n = 5), in community pharmacies (n = 8), and used the Alzheimer's Disease Knowledge Scale (n = 8).",A tool to assess healthcare providers' knowledge about ADRD.
40318342,Yes,training programs and interventions targeting pharmacists,Healthcare,The findings suggest the need for training programs and interventions targeting pharmacists working in services that care for patients with AD.,Addresses healthcare education to improve ADRD care delivery.
39623928,No,,,,
40713707,No,cerebrospinal fluid biomarkers,AD/ADRD,"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",CSF biomarkers are directly linked to Alzheimer's pathology.
40713707,No,neurogranin (Ng),AD/ADRD,"There was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",Ng is a biomarker of synaptic dysfunction in AD.
39909861,No,,,,
40561381,No,Area Deprivation Index (ADI),Neighborhood,"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.",ADI measures neighborhood socioeconomic disadvantage.
40561381,No,CSF YKL-40,AD/ADRD,"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, p = 0.003) and tau (β = 1.8, p = 0.04) after excluding outliers.",CSF YKL-40 is a core AD pathology biomarker.
40561381,No,CSF tau,AD/ADRD,"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, p = 0.003) and tau (β = 1.8, p = 0.04) after excluding outliers.",CSF tau is a core AD pathology biomarker.
40561381,No,plasma CRP,AD/ADRD,"Greater neighborhood disadvantage at study entry related to faster longitudinal increases in plasma CRP (β = 0.005, p = 0.03).",Plasma CRP is an inflammatory biomarker linked to AD.
40651997,No,,,,
40455830,No,,,,
40629265,No,,,,
40693459,No,,,,
40684246,Yes,healthcare access,Healthcare,"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Limited healthcare access increases dementia risk.
40684246,Yes,poorer-quality healthcare,Healthcare,"structural racism emerged as an 'external yet ubiquitous' force accelerating other drivers of dementia (e.g., poverty, insufficient community investment, and poorer-quality healthcare)",Lower healthcare quality exacerbates dementia risk.
40684246,Yes,health education,Healthcare,"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.",Health education addresses modifiable dementia drivers.
40660738,No,,,,
40627435,No,,,,
40621962,No,Alzheimer's disease and related dementias (ADRD),ADRD,"Ethnoracial groups face the highest risk for Alzheimer's disease and related dementias (ADRD) but remain underrepresented in research, exacerbating health disparities.",ADRD is the primary health condition studied in the paper.
40597399,No,Alzheimer's disease,AD/ADRD,"This study investigated the associations among cerebrospinal fluid (CSF) Aβ42 levels, cerebral glucose metabolism (assessed via FDG-PET), neuropsychiatric symptoms (evaluated using the NPI), and cognitive performance (measured by ADAS-Cog13 and MoCA) in individuals with AD, mild cognitive impairment (MCI), and cognitively normal (CN) participants.","Directly refers to Alzheimer's disease, a core ADRD entity."
40597399,No,mild cognitive impairment,AD/ADRD,"This study investigated the associations among cerebrospinal fluid (CSF) Aβ42 levels, cerebral glucose metabolism (assessed via FDG-PET), neuropsychiatric symptoms (evaluated using the NPI), and cognitive performance (measured by ADAS-Cog13 and MoCA) in individuals with AD, mild cognitive impairment (MCI), and cognitively normal (CN) participants.",MCI is a precursor to ADRD and relevant to the study's focus.
