PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40561381,Area Deprivation Index (ADI),Yes,['socioenvironmental_neighborhood'],"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.","ADI components (income, education) reflect social and environmental conditions affecting health equity."
40561381,socioeconomically disadvantaged neighborhood,Yes,['socioenvironmental_neighborhood'],"Living in a socioeconomically disadvantaged neighborhood has an adverse impact on health outcomes, including increased risk of Alzheimer disease (AD).",Social conditions affecting health equity and access in a community.
40651997,Area Deprivation Index,Yes,['socioenvironmental_neighborhood'],"This pipeline also captures ... the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Measures socioeconomic deprivation linked to health equity in communities.
40651997,Social Vulnerability Index,Yes,['socioenvironmental_neighborhood'],"This pipeline also captures ... the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Measures social conditions affecting health equity and access in communities.
40684246,neighborhood-level deprivation,Yes,['socioenvironmental_neighborhood'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Socioeconomic disadvantage linked to health equity and access in community conditions.
40684246,Area Deprivation Index [ADI],Yes,['socioenvironmental_neighborhood'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.","ADI measures socioeconomic disadvantage, a socioenvironmental condition linked to dementia risk."
40684246,under-resourced neighborhoods,Yes,['socioenvironmental_neighborhood'],Participants outlined multi-level interventions...to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.,Lack of resources and investment in neighborhoods reflects socioenvironmental inequities linked to dementia risk.
40621962,community-based organizations,Yes,['socioenvironmental_neighborhood'],"Successful engagement strategies encompass building trust through long-term community involvement, utilizing culturally tailored educational materials, and forming partnerships with community-based organizations.",Community-based organizations address social equity and access within neighborhoods.
40621962,community partnerships,Yes,['socioenvironmental_neighborhood'],"Successful engagement strategies encompass building trust through long-term community involvement, utilizing culturally tailored educational materials, and forming partnerships with community-based organizations.",Social structures and community resources influencing health equity.
39550616,physical environment,No,['Undefined'],The themes explaining the components of effective physiotherapy care were: 1) engaging the person with dementia (subthemes: ... optimizing the physical environment) and 2) collaborative care...,"Entity refers to care delivery environment, not residential neighborhood factors."
