PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40449109,Financial performance,Yes,['financial_stress'],"This study examined the influence of common neurological and psychiatric conditions, i.e., Alzheimer's disease (AD), Parkinson's disease (PD), stroke, and affective disturbances, on financial performance.",Financial performance relates to managing financial resources
40449109,Difficulties in managing money,Yes,['financial_stress'],"Compared to controls, participants with one of the four conditions reported significantly more often having difficulties managing money.",Relates to financial stress due to managing money issues.
40449109,Difficulties in making ends meet,Yes,"['financial_stress', 'expense']",The different diagnoses also predicted both current and future difficulties in managing money and making ends meet.,Relates to financial strain and managing expenses.
40449109,Debt situation,Yes,['financial_stress'],"Logistic regressions and group comparisons were conducted to analyze the influence of self-reported disease diagnosis on three aspects of (future) financial performance: difficulties in managing money, difficulties in making ends meet, and debt situation.",Debt situation indicates financial stress or instability.
40449109,Financial difficulties,Yes,['financial_stress'],These results emphasize the importance of recognizing financial difficulties in such individuals and offering financial assistance when needed.,Financial difficulties indicate financial strain or stress.
40561381,Area Deprivation Index (ADI),Yes,['socioeconomic_status'],"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.",ADI measures neighborhood socioeconomic disadvantage.
40561381,neighborhood disadvantage,Yes,"['socioeconomic_status', 'problem_related_to_housing_and_economic_circumstance']","Living in a socioeconomically disadvantaged neighborhood has an adverse impact on health outcomes, including increased risk of Alzheimer disease (AD).",Relates to socioeconomic status and housing/economic circumstances.
40651997,Area Deprivation Index,Yes,['socioeconomic_status'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Measures socioeconomic disadvantage in a given area.
40651997,Social Vulnerability Index,Yes,['socioeconomic_status'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Measures socioeconomic and demographic vulnerability factors.
40684246,economic hardship,Yes,"['financial_stress', 'problem_related_to_housing_and_economic_circumstance']","CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Economic hardship implies financial strain and economic instability.
40684246,low income,Yes,['income'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Low income is a measure of financial resources available.
40684246,unemployment,Yes,['employment'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Unemployment is related to engagement in paid work.
40684246,socioeconomic disadvantage,Yes,['socioeconomic_status'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Socioeconomic disadvantage affects dementia risk and cognitive health.
40684246,poverty,Yes,"['financial_stress', 'problem_related_to_housing_and_economic_circumstance', 'income']","Across multiple feedback loops, structural racism emerged as an ""external yet ubiquitous"" force accelerating other drivers of dementia (e.g., poverty, insufficient community investment, and poorer-quality healthcare), demonstrating the complex pathways by which discrimination exacerbates risk in Black communities.",Poverty is related to financial stress and economic hardship.
40587504,higher income level,Yes,['income'],"Residents aged 18-39, living in urban areas, with higher education or above, working in healthcare, having a higher income level, being unmarried, and having experience in Alzheimer's Disease and Related Dementias (ADRD) knowledge training have a higher level of knowledge about AD and a more positive attitude towards it.",Higher income level indicates monetary earnings or resources.
39969227,neighborhood deprivation,Yes,['socioeconomic_status'],"Our findings underscore the importance of incorporating socioeconomic and environmental variables, such as neighborhood deprivation, in predicting preclinical AD.",Relates to socioeconomic status through neighborhood conditions
39969227,area deprivation index (ADI),Yes,['socioeconomic_status'],"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.","ADI measures neighborhood deprivation, reflecting socioeconomic status."
40457220,education level,Yes,['socioeconomic_status'],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Education level is a component of socioeconomic status.
