PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,No,Alzheimer's disease (AD),AD/ADRD,"Compared to controls, participants with one of the four conditions reported significantly more often having difficulties managing money. Within the AD group, over half of the participants reported these difficulties.",AD is a type of ADRD studied in the context of financial performance.
40523528,Yes,lifestyle modifications,Behavior_and_Lifestyle,"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Modifying lifestyle to reduce ADRD risk.
40523528,Yes,health behaviors,Behavior_and_Lifestyle,"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Health behaviors linked to ADRD prevention.
40523528,Yes,Alzheimer's disease,AD/ADRD,"A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Primary focus of the study on ADRD.
40318342,No,Alzheimer's Disease,AD/ADRD,To identify studies that explored pharmacists' knowledge and attitudes regarding Alzheimer's Disease (AD).,"Study focuses on pharmacists' knowledge of AD, not lifestyle impact."
40318342,No,risk factors for AD development,AD/ADRD,"A knowledge gap was identified in areas such as recognizing symptoms, understanding risk factors for AD development, and providing effective patient care.",Mentions risk factors but not lifestyle-related behaviors.
39623928,No,Behavioral and psychological symptoms of dementia (BPSD),AD/ADRD,Behavioral and psychological symptoms of dementia (BPSD) can appear not only in Alzheimer's disease dementia (ADD) but in mild cognitive impairment (MCI).,BPSD is a documented symptom cluster in ADRD.
39623928,No,Neuropsychiatric Inventory Questionnaire (NPI-Q) score,AD/ADRD,"This study examined the association of BPSD with caregiver relationship, using the Neuropsychiatric Inventory Questionnaire (NPI-Q) score.",NPI-Q is a tool to assess ADRD-related behavioral symptoms.
39623928,No,Caregiver relationship,Behavior_and_Lifestyle,"Caregiver relationship was significantly associated with patient age, sex, duration of education, cohabitation status, total NPI-Q score, and number of NPI-Q domains.",Caregiver relationship is a social context factor influencing ADRD symptom reporting.
40713707,Yes,Alcohol consumption,Behavior_and_Lifestyle,It is largely unknown how alcohol use affects the risk of Alzheimer`s disease (AD).,Alcohol use is a modifiable behavior linked to AD risk.
40713707,Yes,Alzheimer's disease (AD),AD/ADRD,"Our findings indicate that higher alcohol use in older cognitively unimpaired women correlates with a biomarker of synaptic dysfunction in AD, which is an important observation in a time when alcohol use is increasing among women.",AD is the health outcome studied in relation to alcohol use.
39909861,No,,,,
40561381,No,Area Deprivation Index (ADI),Neighborhood,"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.","ADI measures neighborhood socioeconomic disadvantage, not behavior/lifestyle."
40561381,No,Alzheimer disease (AD) pathology,AD/ADRD,"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, p = 0.003) and tau (β = 1.8, p = 0.04) after excluding outliers.","CSF biomarkers indicate AD pathology, not behavior/lifestyle factors."
40651997,Yes,naturalistic driving behavior,Behavior_and_Lifestyle,The DRIVES Project at Washington University School of Medicine has developed a pipeline to measure naturalistic driving behavior of older adult drivers enrolled in longitudinal studies of aging and ADRD.,Driving behavior is a lifestyle factor studied in relation to ADRD.
40455830,No,Alzheimer's disease,AD/ADRD,"In this study, we explored whether there was a differential performance for individuals with Alzheimer's disease (AD) and the logopenic variant of primary progressive aphasia (lvPPA) on two elicitation tasks, picture description and story retell.",The study focuses on Alzheimer's disease as the target condition.
40629265,Yes,music therapy,Behavior_and_Lifestyle,"Literatures between January 2013 and January 2023 were selected, with 42 literatures included in the study, which highlights the beneficial impact of MT on cognition (memory, attention, language), behavioural and psychological symptoms (anxiety, depression and agitation), quality of life, self-esteem and physical pain in AD patients.",Music therapy is a non-pharmacological behavioral intervention.
40629265,Yes,Alzheimer's disease,AD/ADRD,"Literatures between January 2013 and January 2023 were selected, with 42 literatures included in the study, which highlights the beneficial impact of MT on cognition (memory, attention, language), behavioural and psychological symptoms (anxiety, depression and agitation), quality of life, self-esteem and physical pain in AD patients.",Target condition for evaluating music therapy efficacy.
40693459,Yes,moderate-to-vigorous physical activity (MVPA),Behavior_and_Lifestyle,"Higher moderate-to-vigorous physical activity (MVPA) relative to remaining behaviors was associated with greater right inferior temporal gyrus volume (ß = 0.30, false-discovery rate (FDR)-corrected-p = 0.030).",MVPA is a behavior linked to brain volume in ADRD-prone regions.
40693459,Yes,sedentary behavior (SB),Behavior_and_Lifestyle,"Higher SB relative to remaining behaviors was associated with lower volume in the same region (ß = -0.45, FDR-corrected-p = 0.015).",SB correlates with reduced GM volume in ADRD-affected areas.
40693459,Yes,gray matter volume in the right inferior temporal gyrus,AD/ADRD,Increasing MVPA at the expense of SB may protect GM in regions prone to Alzheimer's disease-related atrophy.,GM volume in this region is a biomarker for ADRD progression.
40684246,Yes,stress,Behavior_and_Lifestyle,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Stress is a lifestyle factor linked to dementia risk.
40684246,Yes,poor diet,Behavior_and_Lifestyle,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Poor diet is a lifestyle factor affecting dementia risk.
40684246,Yes,Alzheimer's disease and related dementias (ADRD),AD/ADRD,Alzheimer's disease and related dementias (ADRD) disproportionately affect Black Americans compared to non-Hispanic White individuals.,ADRD is the condition being studied.
40660738,No,Educational attainment,Education_and_Literacy,"In amyloid-negative individuals, higher educational attainment was linked to greater posterior rsEEG alpha activity, possibly reflecting neuroprotective effects.","Entity belongs to Education and Literacy category, not Behavior and Lifestyle."
