PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,No,,,,
40523528,No,,,,
40318342,No,,,,
39623928,No,,,,
40713707,No,,,,
39909861,No,,,,
40561381,Yes,Neighborhood disadvantage,Neighborhood,"Living in a socioeconomically disadvantaged neighborhood has an adverse impact on health outcomes, including increased risk of Alzheimer disease (AD).",Neighborhood disadvantage linked to increased risk of Alzheimer's disease.
40561381,Yes,neighborhood disadvantage,Neighborhood,"We sought to examine how neighborhood disadvantage relates to core AD pathology, neurodegeneration, and inflammatory biomarkers in community-dwelling older adults cross-sectionally and over time.",Study investigates relationship between neighborhood disadvantage and AD pathology.
40561381,Yes,Area Deprivation Index (ADI),Neighborhood,"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.","ADI measures neighborhood disadvantage, a key study variable."
40561381,Yes,neighborhood disadvantage,Neighborhood,"Ordinary least-squares regressions cross-sectionally related ADI to plasma and CSF inflammatory biomarkers adjusting for age, sex, race/ethnicity, education, modified Framingham Stroke Risk Profile score, <i>APOE</i> ε4 status, and cognitive status.",ADI (neighborhood disadvantage) associated with inflammatory biomarkers.
40561381,Yes,neighborhood disadvantage,Neighborhood,Linear mixed-effects regression models related ADI to longitudinal biomarkers with identical covariates plus follow-up time.,ADI (neighborhood disadvantage) associated with longitudinal biomarkers.
40561381,Yes,neighborhood disadvantage,Neighborhood,"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, <i>p</i> = 0.003) and tau (β = 1.8, <i>p</i> = 0.04) after excluding outliers.","Neighborhood disadvantage associated with elevated CSF biomarkers (YKL-40, tau)."
40561381,Yes,neighborhood disadvantage,Neighborhood,"Greater neighborhood disadvantage at study entry related to faster longitudinal increases in plasma CRP (β = 0.005, <i>p</i> = 0.03).",Neighborhood disadvantage associated with faster increases in plasma CRP.
40561381,Yes,neighborhood disadvantage,Neighborhood,Greater neighborhood disadvantage was associated with elevated inflammatory and AD CSF biomarkers cross-sectionally and longitudinal increases in a nonspecific inflammatory blood biomarker.,Neighborhood disadvantage associated with elevated inflammatory and AD biomarkers.
40561381,Yes,Alzheimer disease (AD),ADRD,"Living in a socioeconomically disadvantaged neighborhood has an adverse impact on health outcomes, including increased risk of Alzheimer disease (AD).",Alzheimer disease (AD) is the outcome of interest.
40561381,Yes,AD pathology,ADRD,"We sought to examine how neighborhood disadvantage relates to core AD pathology, neurodegeneration, and inflammatory biomarkers in community-dwelling older adults cross-sectionally and over time.",AD pathology is a key outcome related to ADRD.
40561381,Yes,CSF YKL-40,ADRD,"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, <i>p</i> = 0.003) and tau (β = 1.8, <i>p</i> = 0.04) after excluding outliers.",CSF YKL-40 is an AD biomarker associated with neighborhood disadvantage.
40561381,Yes,CSF tau,ADRD,"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, <i>p</i> = 0.003) and tau (β = 1.8, <i>p</i> = 0.04) after excluding outliers.",CSF tau is an AD biomarker associated with neighborhood disadvantage.
40561381,Yes,plasma CRP,ADRD,"Greater neighborhood disadvantage at study entry related to faster longitudinal increases in plasma CRP (β = 0.005, <i>p</i> = 0.03).",Plasma CRP is an inflammatory biomarker associated with neighborhood disadvantage.
40561381,Yes,inflammatory and AD CSF biomarkers,ADRD,Greater neighborhood disadvantage was associated with elevated inflammatory and AD CSF biomarkers cross-sectionally and longitudinal increases in a nonspecific inflammatory blood biomarker.,AD CSF biomarkers are associated with neighborhood disadvantage.
40651997,Yes,Area Deprivation Index,Neighborhood,"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Index measuring socioeconomic disadvantage within a geographic area.
