PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,No,,,,
40523528,No,Alzheimer's disease,AD/ADRD,"A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Study focuses on Alzheimer's disease prevention.
40523528,No,dementia,AD/ADRD,"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Dementia is the target condition for intervention.
40318342,No,,,,
39623928,No,,,,
40713707,Yes,white wine,Food,"There was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",White wine is a type of alcohol consumption linked to ADRD biomarker.
40713707,Yes,red wine,Food,"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).",Red wine consumption interacts with sex to affect ADRD biomarker.
40713707,Yes,neurogranin (Ng),AD/ADRD,"Our findings indicate that higher alcohol use in older cognitively unimpaired women correlates with a biomarker of synaptic dysfunction in AD, which is an important observation in a time when alcohol use is increasing among women.",Ng is a biomarker of synaptic dysfunction in preclinical AD.
39909861,No,,,,
40561381,No,,,,
40651997,No,Alzheimer's disease and related dementia (ADRD),ADRD,Alzheimer's disease and related dementia (ADRD) are becoming increasingly prevalent and are predicted to affect up to 153 million globally by 2050.,Study focus on ADRD prevalence and impact.
40455830,No,,,,
40629265,No,,,,
40693459,No,,,,
40684246,Yes,poor diet,Food,"Workshop groups from areas with higher neighborhood deprivation [...] were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Poor diet linked to dementia risk via socioeconomic disadvantage.
40660738,No,subjective memory complaints,AD/ADRD,We investigated whether older adults with subjective memory complaints (SMC) and amyloid-β accumulation may show clinical progression over 2 years...,Directly refers to early cognitive symptoms linked to ADRD.
40660738,No,brain amyloid-β deposition,AD/ADRD,We analyzed these markers in 84 SMC participants [...] grouped by amyloid-β deposition (<sup>18</sup>F-florbetapir positron emission tomography) and educational attainment.,Amyloid-β is a pathological hallmark of Alzheimer's disease.
40627435,Yes,healthy diet,Food,A few suggested that a healthy diet and exercise could help slow the progression of AD.,Diet linked to slowing AD progression.
40627435,Yes,Alzheimer's disease (AD),AD/ADRD,A few suggested that a healthy diet and exercise could help slow the progression of AD.,Disease targeted in dietary impact analysis.
40621962,No,,,,
40597399,No,,,,
40518812,No,Alzheimer's disease,AD/ADRD,"Most patients (95.3%) had dementia (68.7% of whom had Alzheimer's disease), and 70.6% were concomitantly treated with anti-dementia drugs.",Study population includes patients with Alzheimer's disease.
40451134,No,Alzheimer's disease,ADRD,"PheWAS identified 17 significant associations, including increased odds of hyperlipidaemia (OR 1.15 [1.14-1.16] per APOE genotype group; P = 1.8 × 10<sup>-129</sup>), dementia, and Alzheimer's disease (OR 1.55 [1.40-1.70]; P = 5 × 10<sup>-19</sup>), and reduced odds of fatty liver disease and chronic liver disease.",Mentions Alzheimer's disease as an outcome in the study.
40451134,No,dementia,ADRD,"PheWAS identified 17 significant associations, including increased odds of hyperlipidaemia (OR 1.15 [1.14-1.16] per APOE genotype group; P = 1.8 × 10<sup>-129</sup>), dementia, and Alzheimer's disease (OR 1.55 [1.40-1.70]; P = 5 × 10<sup>-19</sup>), and reduced odds of fatty liver disease and chronic liver disease.",Mentions dementia as an outcome in the study.
40443135,No,Biomarkers,AD/ADRD,We aimed to (1) investigate the perception of the utility of different biomarkers in the assessment of BPSD among Italian Memory Clinics and (2) review current literature in this regard.,Biomarkers are discussed in the context of assessing dementia symptoms.
40443135,No,MRI,AD/ADRD,"94%, 68%, 68%, and 45% perceived neuropsychological testing, MRI, FDG-PET, and EEG, respectively, associated with the total amount of BPSD.",MRI is linked to behavioral symptoms of dementia.
40443135,No,FDG-PET,AD/ADRD,"94%, 68%, 68%, and 45% perceived neuropsychological testing, MRI, FDG-PET, and EEG, respectively, associated with the total amount of BPSD.",FDG-PET is associated with dementia symptom assessment.
40443135,No,EEG,AD/ADRD,EEG alterations were perceived selectively associated with nighttime behavior disturbances and psychosis cluster (p < 0.01).,EEG alterations correlate with specific dementia symptoms.
40403677,No,dementia/Alzheimer's disease,ADRD,"Patients diagnosed with schizophrenia (p = 0.034), bipolar disorder (p = 0.016), depression (p = 0.008), obsessive-compulsive disorder (p = 0.015) and dementia/Alzheimer's disease (p = 0.003) were more likely to be compliant with treatments whereas patients affected by stress or post-traumatic stress disorder were significantly less complaint (p = 0.015 and p = 0.006, respectively).",Diagnosis mentioned in the study context.
40397128,No,,,,
40325979,No,,,,
40294330,No,,,,
40288270,No,education,Education_and_Literacy,"Cognitive reserve, often reflected by education, may protect against cognitive decline linked to brain pathology.",proxy for cognitive reserve
40288270,No,white matter lesions,AD/ADRD,"White matter lesions (WMLs), common in aging, are associated with the progression from healthy cognitive status (HC) to mild cognitive impairment (MCI).",linked to cognitive decline
39968751,No,,,,
39550616,No,,,,
