PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40449109,difficulties in managing money,No,['Undefined'],"Compared to controls, participants with one of the four conditions reported significantly more often having difficulties managing money.","Entity is related to financial capability, not neighborhood factor."
40449109,difficulties in making ends meet,No,['Undefined'],The different diagnoses also predicted both current and future difficulties in managing money and making ends meet.,Entity is not related to Neighborhood factors
40449109,financial difficulties,No,['Undefined'],"Compared to controls, individuals with PD, AD, stroke, or affective disorders are more prone to experiencing impairments with both current and future financial performance, potentially facing financial difficulties.",Not related to Neighborhood factor
40523528,community-based health education,No,['Undefined'],"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",Not related to Neighborhood factors
40523528,collectivist cultural settings,Yes,['socioenvironmental_neighborhood'],"The findings demonstrated significant improvements in dementia knowledge, increased adoption of protective behaviors, and particularly strong effects in collectivist cultural settings.",Cultural settings influence social environment and health outcomes.
40561381,Neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"Living in a socioeconomically disadvantaged neighborhood has an adverse impact on health outcomes, including increased risk of Alzheimer disease (AD).",Neighborhood disadvantage is a socioenvironmental factor influencing health.
40561381,Area Deprivation Index (ADI),Yes,['socioenvironmental_neighborhood'],"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.",Measures neighborhood disadvantage and socio-economic conditions.
40651997,Area Deprivation Index,Yes,['socioenvironmental_neighborhood'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Measures social determinants of health and neighborhood disadvantage.
40651997,Social Vulnerability Index,Yes,['socioenvironmental_neighborhood'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.","Measures social vulnerability, a neighborhood socioenvironmental factor."
40684246,neighborhood deprivation,Yes,['socioenvironmental_neighborhood'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Reflects socioeconomic disadvantage and its health impacts.
