PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40561381,Neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"Living in a socioeconomically disadvantaged neighborhood has an adverse impact on health outcomes, including increased risk of Alzheimer disease (AD).",Represents social conditions within a community influencing health equity.
40561381,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"We sought to examine how neighborhood disadvantage relates to core AD pathology, neurodegeneration, and inflammatory biomarkers in community-dwelling older adults cross-sectionally and over time.",Represents social conditions within a community influencing health.
40561381,Area Deprivation Index (ADI),Yes,['socioenvironmental_neighborhood'],"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.",ADI represents socioeconomic disadvantage within a neighborhood context.
40561381,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"Ordinary least-squares regressions cross-sectionally related ADI to plasma and CSF inflammatory biomarkers adjusting for age, sex, race/ethnicity, education, modified Framingham Stroke Risk Profile score, <i>APOE</i> ε4 status, and cognitive status.",Represents social conditions within a community influencing health.
40561381,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],Linear mixed-effects regression models related ADI to longitudinal biomarkers with identical covariates plus follow-up time.,Represents social conditions within a community influencing health.
40561381,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"Greater neighborhood disadvantage at study entry was cross-sectionally associated with elevated CSF YKL-40 (β = 0.7, <i>p</i> = 0.003) and tau (β = 1.8, <i>p</i> = 0.04) after excluding outliers.",Represents social conditions within a community influencing health.
40561381,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"Greater neighborhood disadvantage at study entry related to faster longitudinal increases in plasma CRP (β = 0.005, <i>p</i> = 0.03).",Represents social conditions within a community influencing health.
40561381,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],Greater neighborhood disadvantage was associated with elevated inflammatory and AD CSF biomarkers cross-sectionally and longitudinal increases in a nonspecific inflammatory blood biomarker.,Represents social conditions within a community influencing health.
40651997,Area Deprivation Index,Yes,['socioenvironmental_neighborhood'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Index reflects socioeconomic conditions within a neighborhood impacting health.
40651997,Social Vulnerability Index,Yes,['socioenvironmental_neighborhood'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Index reflects social conditions influencing health equity and access.
40684246,neighborhood-level deprivation,Yes,['socioenvironmental_neighborhood'],We analyzed these diagrams using ecological methods to identify a shared core model and examine variation by neighborhood-level deprivation.,Deprivation reflects social and environmental conditions influencing health equity.
40684246,deprived areas,Yes,['socioenvironmental_neighborhood'],"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.",Deprived areas reflect socioeconomic disadvantage impacting health access.
40684246,neighborhood deprivation,Yes,['socioenvironmental_neighborhood'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Deprivation reflects socioeconomic conditions influencing health equity and access.
40684246,under-resourced neighborhoods,Yes,"['socioenvironmental_neighborhood', 'problems_related_to_physical_environment']","Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies (e.g., political engagement, equitable public resource allocation)-to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.",Reflects social disadvantage and lack of resources impacting dementia risk.
40627435,neighborhoods of northern Manhattan,Yes,['geographic_location'],"We conducted in-depth, semi-structured interviews in English or Spanish with 216 Latinos aged 40-60 years (average age 53 years) living in the neighborhoods of northern Manhattan.",Specifies the physical area where participants reside.
39968751,district of residence,Yes,['geographic_location'],"Predictive variables were age, sex, education, marital status, type of district of residence, caregiving hours per week, relationship to the person with dementia, care burden, and the Relative Stress Scale.",District of residence defines the physical area where caregivers live.
39968751,urban districts,Yes,['geographic_location'],"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Urban vs rural districts represent a geographic location factor.
39968751,rural districts,Yes,['geographic_location'],"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Rural districts represent a type of geographic location.
39969227,neighborhood deprivation,Yes,['socioenvironmental_neighborhood'],"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",Neighborhood deprivation reflects socioeconomic conditions influencing health equity.
39969227,area deprivation index (ADI),Yes,['socioenvironmental_neighborhood'],"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",ADI measures socioeconomic conditions within a neighborhood.
39969227,ADI of trip destinations,Yes,['socioenvironmental_neighborhood'],"Among 292 participants (n = 2,792 observations), including ADI of trip destinations, participants' home ADI, and frequency of trips to the same ADI led to a slight but notable improvement in predicting preclinical AD.",ADI reflects socioeconomic conditions within a neighborhood.
39969227,home ADI,Yes,['socioenvironmental_neighborhood'],"Among 292 participants (n = 2,792 observations), including ADI of trip destinations, participants' home ADI, and frequency of trips to the same ADI led to a slight but notable improvement in predicting preclinical AD.",ADI reflects socioeconomic conditions within a neighborhood.
40457220,residence location,Yes,['geographic_location'],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Residence location is a key factor influencing MCI risk.
40524437,walkability,Yes,['physical_environment'],"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Walkability is a physical characteristic of the neighborhood environment.
40524437,green space,Yes,['physical_environment'],"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Green space is a component of the physical environment impacting cognition.
40524437,tree canopy,Yes,['physical_environment'],"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Tree canopy is a component of the physical environment.
40524437,light pollution,Yes,['physical_environment'],"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Light pollution is an environmental factor affecting cognitive function.
40138617,Social Vulnerability index (SVI),Yes,['socioenvironmental_neighborhood'],The primary study objective was to examine the association between Social Vulnerability index (SVI) and risk of incident Alzheimer disease (AD) and rate of cognitive decline.,SVI reflects social and environmental conditions influencing health equity.
40138617,census tracts,Yes,['geographic_location'],"Participants were recruited through door visits, were at least 65 years of age at enrollment, and lived in one of 4 Chicago communities representing 24 US census tracts.",Census tracts define specific geographic areas linked to ADRD risk.
40138617,tracts,Yes,['geographic_location'],"Participants in tracts with SVI above 50th to 75th percentiles had OR = 2.23 (95% CI 1.23-4.05) for clinical AD, and participants in tracts greater than the 75th percentile had OR = 2.04 (95% CI 1.03-4.04).",Tracts represent specific geographic areas linked to AD risk.
