parent,children,css,pss,pda
Exercise Equipment,"['Elastic Band', 'Free Weights', 'Nordic Track', 'Stair Climber', 'Stationary Cycle', 'Treadmill', 'Weight Machine']",0.5826972126960754,0.5843424201011658,0.9082704782485962
Running,"['Jogging', 'Sprinting', 'Treadmill Running']",0.6456308364868164,0.7069360613822937,0.9309526681900024
Non Tobacco Products Smoking,"['Cocaine Smoking', 'Marijuana Smoking']",0.8493962287902832,0.8279216289520264,0.9614786505699158
Sex Safety Practice,"['Condomless Sex', 'Safe Sex']",0.7576348781585693,0.7583372592926025,0.9456580281257629
Mind Body Activity,"['Clearing Walk', 'Tai Chi', 'Yoga']",0.6440200209617615,0.5780520439147949,0.9501174688339233
Housekeeping Chore,"['Chopping Vegetable', 'Chores', 'Clearing Table', 'Collecting Rubbish', 'Drying Dish', 'Dusting', 'Folding Laundry', 'Mopping', 'Polishing', 'Preparing Food', 'Runnig Errand', 'Scrubbing Floor', 'Scrubbing Wall', 'Serving Food', 'Setting Table', 'Sewing', 'Shopping', 'Sweeping', 'Tidying', 'Vacuuming', 'Washing', 'Washing Dish']",0.6446697115898132,0.6438044905662537,0.9485713839530945
Gardening,"['Digging', 'Hoeing', 'Mowing Lawn', 'Planting', 'Pruning', 'Raking', 'Spading Soil', 'Watering Plant', 'Weeding']",0.7086368799209595,0.7292296886444092,0.9133602380752563
Smoking,"['Non Tobacco Products Smoking', 'Pipe Smoking', 'Tobacco Smoking', 'Vaping']",0.7211942076683044,0.8308039903640747,0.8729548454284668
Diet,"['High Added Sugar Intake', 'High Fat Intake', 'High Sodium Intake', 'Inadequate Calcium Intake']",0.8092520833015442,0.6342887878417969,0.9401353001594543
Insufficient Activity,['No Physical Activity'],,0.6779792308807373,1.0
Martial Art,"['Judo', 'Karate', 'Tae Kwon Do', 'Wrestling']",0.7591922879219055,0.718194305896759,0.9218949675559998
Exercise Leisure Activity,"['Dance', 'Walking', 'Backpacking', 'Ball Game', 'Boogieboarding', 'Calisthenic', 'Camping', 'Canoeing', 'Cheerleading', 'Circuit Training', 'Mind Body Activity', 'Climbing', 'Ski', 'Cycling', 'Stair Climbing', 'Hockey Game', 'Fishing', 'Physically Active Game', 'Gymnastics', 'High Intensity Interval Training', 'Horseback Riding', 'Hunting', 'Skate', 'Running', 'Martial Art', 'Jump Rope', 'Kayaking', 'Swimming', 'Motocycling', 'Pilates', 'Skateboarding', 'Snowboard', 'Stationary Cycling', 'Stretching', 'Surfing', 'Track and Field', 'Triathalon', 'Weightlifting']",0.6481287479400635,0.5730665326118469,0.9374390244483948
Stair Climbing,"['Down Stair Climing', 'Up Stair Climing']",0.9775938391685486,0.8267664909362793,0.9963188767433167
Element Relevant to Behavior and Lifestyle,"['Behavior Change', 'Element Relevant to Sexual Behavior', 'Substance Use', 'Element Relevant to Physical Activity', 'Diet', 'Sleep', 'Spirituality and Religion Practice', 'Treatment Adherence and Compliance']",0.6244028210639954,0.6856213808059692,0.8589195013046265
