PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,health education,No,[],"A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Health education is not a direct education/literacy factor.
40523528,health knowledge lectures,Yes,['education_quality'],"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",Lectures are a form of educational intervention impacting ADRD.
40523528,mental health education,Yes,['education_quality'],"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",Mental health education is a type of educational intervention.
40523528,AD knowledge,No,[],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",AD knowledge is not an education or literacy factor.
40523528,dementia knowledge,No,['Undefined'],"The findings demonstrated significant improvements in dementia knowledge, increased adoption of protective behaviors, and particularly strong effects in collectivist cultural settings.","Entity relates to knowledge about dementia, not education/literacy factors."
39623928,duration of education,Yes,['years_of_education'],"Caregiver relationship was significantly associated with patient age, sex, duration of education, cohabitation status, total NPI-Q score, and number of NPI-Q domains.",Duration of education refers to the length of schooling completed.
39623928,duration of school education,Yes,['years_of_education'],"Caregiver (oldest daughter), duration of school education, age, and total HDS-R and MMSE scores were significantly associated with NPI-Q total score and number of NPI-Q domains.",Duration of school education is a measure of years of education.
40684246,health education,Yes,['literacy'],"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.",Health education relates to literacy and understanding health information.
40684246,health literacy campaigns,Yes,['literacy'],"Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies (e.g., political engagement, equitable public resource allocation)-to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.",Health literacy campaigns directly relate to the ability to understand health information.
40660738,educational attainment,Yes,"['education_level', 'years_of_education']","We investigated whether older adults with subjective memory complaints (SMC) and amyloid-β accumulation may show clinical progression over 2 years, as measured by resting-state electroencephalographic (rsEEG), structural magnetic resonance imaging (sMRI), and cognitive variables, depending on educational attainment.",Educational attainment relates to level and duration of schooling.
40660738,educational attainment,Yes,"['education_level', 'years_of_education']","In amyloid-negative individuals, higher educational attainment was linked to greater posterior rsEEG alpha activity, possibly reflecting neuroprotective effects.",Educational attainment is linked to cognitive markers in ADRD risk.
40660738,educational attainment,Yes,['education_level'],"Conversely, amyloid-positive individuals with higher educational attainment showed reduced posterior rsEEG alpha rhythms and lower parietal cortical thickness, potentially indicating compensatory mechanisms counteracting early amyloidosis and neurodegeneration.",Educational attainment is a measure of highest schooling completed.
40660738,Education,Yes,['education_level'],"Education had a stable influence on rsEEG, sMRI, and cognitive markers over 2 years in SMC individuals.",Education's stable influence on cognitive markers relates to education level.
40660738,Education,Yes,['education_level'],Compensatory mechanism of education against early amyloidosis and neurodegeneration.,Education's role as a compensatory mechanism against neurodegeneration.
40621962,culturally tailored education,Yes,['education_quality'],"Effective strategies involved long-term community engagement, culturally tailored education, participatory methods, and logistical support.",Culturally tailored education relates to the quality of educational materials.
40288270,education,Yes,['education_level'],"Cognitive reserve, often reflected by education, may protect against cognitive decline linked to brain pathology.",Education level is linked to cognitive decline protection.
40288270,education,Yes,['education_level'],"This study explores education's role, as a proxy for cognitive reserve, in moderating the relationship between WML burden and the HC to MCI transition.",Education level is linked to cognitive reserve and MCI transition.
40288270,education,Yes,"['education_level', 'years_of_education']","A significant interaction between group and education for both WML types (WM-hyper: β = -0.097, p = 0.047; WM-hypo: β = -0.070, p = 0.037) was found, suggesting that among individuals who progressed to MCI, higher education was associated with lower WML burden.",Higher education is linked to lower WML burden in MCI.
40288270,education,Yes,['education_level'],This suggest that education plays a protective role against white matter pathology among individuals at risk for cognitive impairment.,Education level is linked to protection against cognitive impairment.
39968751,education,Yes,['education_level'],"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Lower education level is associated with negative self-perceptions of aging.
40587504,higher education,Yes,['education_level'],"Residents aged 18-39, living in urban areas, with higher education or above, working in healthcare, having a higher income level, being unmarried, and having experience in Alzheimer's Disease and Related Dementias (ADRD) knowledge training have a higher level of knowledge about AD and a more positive attitude towards it.",Higher education is a level of schooling completed.
40466093,dementia education platform,Yes,['education_quality'],"We developed a web- and email-based dementia education platform for care partners, iGeriCare, which includes 12 asynchronous, multimedia, e-learning lessons and email-based content to reinforce the learning.",Platform provides learning resources for care partners related to dementia.
40466093,educational resources,Yes,['education_quality'],"Secondary objectives will examine the effectiveness of the educational resources on family care partners' knowledge, self-efficacy, and sense of burden.",Resources are part of the educational setting's effectiveness.
40466093,dementia web- and email-based educational intervention,Yes,['education_quality'],Participants will be randomly assigned to either the intervention group (receiving the dementia web- and email-based educational intervention) or the control group (receiving an alternate topic e-learning lesson and emails) and will have 8 weeks to complete baseline surveys and the assigned e-learning.,Intervention focuses on the quality and delivery method of education.
40466093,dementia care partner educational intervention,No,[],"This study is investigating the feasibility, acceptability, and effectiveness of a web- and email-based dementia care partner educational intervention.","Entity is an intervention, not an education/literacy factor itself."
