PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40713707,alcohol consumption,No,[],"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.","Alcohol is a substance, not a food factor related to ADRD."
40713707,white wine,No,[],"After adjustments for multiplicity with FDR, there was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).","Entity is alcohol, not a food factor related to ADRD."
40713707,red wine,No,[],"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).","Red wine is a specific beverage, not a general food factor."
40713707,spirits,Yes,['diet'],"There were no correlations between consumption of specific types of alcohol (spirits, white wine, red wine, fortified wine, and beer) and any of the biomarkers studied in the total sample of cognitively unimpaired participants.",Consumption of spirits is a dietary pattern related to ADRD.
40713707,fortified wine,No,[],"There were no correlations between consumption of specific types of alcohol (spirits, white wine, red wine, fortified wine, and beer) and any of the biomarkers studied in the total sample of cognitively unimpaired participants.","Entity is alcohol type, not a food factor related to ADRD."
40713707,beer,Yes,['diet'],"There were no correlations between consumption of specific types of alcohol (spirits, white wine, red wine, fortified wine, and beer) and any of the biomarkers studied in the total sample of cognitively unimpaired participants.",Beer consumption is a dietary pattern related to ADRD biomarkers.
40684246,poor diet,Yes,['diet'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Poor diet is a pattern of food consumption linked to ADRD.
40627435,healthy diet,Yes,['diet'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Healthy diet is a pattern of food consumption.
40082178,nutrition,Yes,['diet'],"This review depicts the relationships between modifiable lifestyle factors (nutrition, physical activity (PA), sleep, alcohol consumption, smoking, and social isolation) and plasma biomarkers of AD: Aβ42, Aβ40, Aβ42/40, phosphorylated tau, total tau, neurofilament light chain (NfL) and glial fibrillary acidic protein.",Nutrition is a key component of an individual's diet.
40082178,nutrition,Yes,['diet'],"Limited evidence suggests that better nutrition is associated with favourable AD plasma biomarker profiles and that PA is associated with less plasma NfL and Aβ, whilst poor sleep is associated with elevated plasma Aβ.",Nutrition relates to the pattern and content of food consumed.
40203226,Alcohol consumption,No,[],Heavy alcohol consumption is a major global health concern linked to increased morbidity and mortality.,Alcohol is not a food factor relevant to ADRD.
40203226,alcohol consumption,No,[],The aim of this study was to analyze the association between alcohol consumption and age-related neuropathologic outcomes in a population-based autopsy study.,Alcohol is not a food factor relevant to ADRD.
40431348,dietary habits,Yes,['diet'],"Chronic low-grade inflammation is emerging as a shared mechanism underlying both conditions, and this inflammatory state can be worsened by dietary habits.",Dietary habits influence inflammation linked to neurodegenerative diseases.
40431348,high-glycemic and comfort foods,Yes,['diet'],"During menopause, mood and sleep disturbances can influence dietary behavior, leading to enhanced snacking and consumption of high-glycemic and comfort foods.","Describes specific food types consumed, impacting health."
40431348,Western diet pattern,Yes,['diet'],Their consumption combined (or not) with a preexisting Western diet pattern-already linked to inflammation-could reinforce systemic inflammation involving the gut-brain axis.,Describes a specific pattern of food consumption linked to ADRD.
40442881,high polyphenol snacks,Yes,['diet'],"We report the feasibility and cognitive outcomes of a stage 1b randomized trial testing 3 months of home-delivered high polyphenol snacks (e.g., nuts, berries) and online speed of processing training among older adults with 12 or fewer years of education.",Snacks are part of the regular pattern of food consumed.
40442881,nuts,Yes,['diet'],"We report the feasibility and cognitive outcomes of a stage 1b randomized trial testing 3 months of home-delivered high polyphenol snacks (e.g., nuts, berries) and online speed of processing training among older adults with 12 or fewer years of education.",Nuts are part of a dietary intervention studied for cognitive outcomes.
40442881,berries,Yes,['diet'],"We report the feasibility and cognitive outcomes of a stage 1b randomized trial testing 3 months of home-delivered high polyphenol snacks (e.g., nuts, berries) and online speed of processing training among older adults with 12 or fewer years of education.",Berries are a food item consumed as part of a diet.
40232259,Healthy dietary patterns,Yes,['diet'],"Healthy dietary patterns have been linked to reduced risks for cardiovascular diseases and dementia, making nutrition an essential part of a comprehensive approach for dementia prevention.",Describes the pattern of food consumption linked to dementia risk.
40232259,nutrition,Yes,['diet'],"Healthy dietary patterns have been linked to reduced risks for cardiovascular diseases and dementia, making nutrition an essential part of a comprehensive approach for dementia prevention.","Nutrition is linked to reduced dementia risk, related to diet."
40232259,healthy diet,Yes,['diet'],Knowledge about factors associated with a healthy diet in people with increased dementia risk is scarce.,Sentence links healthy diet to dementia risk.
40232259,healthy diet,Yes,['diet'],"Nutrition was assessed using a composite score, comprising 11 components covered by national recommendations for a healthy diet (range = 0-11 points).",Sentence describes assessment of a healthy diet pattern.
40232259,healthy diet,Yes,['diet'],"Linear regressions assessed associations of sociodemographic, social, health-related and psychological factors with consumption of a healthy diet.",Sentence links consumption of a healthy diet to dementia risk.
40232259,healthy diet,Yes,['diet'],"Female sex (b = 0.64, 95% CI: 0.41, 0.88), higher levels of motivation for healthy eating (b = 0.22, 95% CI: 0.10, 0.34) and higher self-efficacy (b = 0.33, 95% CI: 0.20, 0.46) were linked to a healthy diet.",The sentence discusses the pattern of food consumption linked to dementia risk.
40055039,Dietary factors,Yes,['diet'],"Dietary factors play a major role in cognitive aging, but few studies have assessed and compared the associations between specific dietary patterns and Alzheimer's disease (AD) mortality.",Refers to the overall pattern of food consumption impacting cognition.
40055039,dietary patterns,Yes,['diet'],"Dietary factors play a major role in cognitive aging, but few studies have assessed and compared the associations between specific dietary patterns and Alzheimer's disease (AD) mortality.",Refers to the regular pattern of food consumed.
40055039,Healthy Eating Index (HEI-2015),Yes,['diet'],"Five dietary pattern scores were calculated utilizing one (1999-2002) or two repeated (2003-2016) 24hr dietary recalls, including the Healthy Eating Index (HEI-2015), the healthful plant-based diet index (hPDI), the alternate Mediterranean diet (aMED), the Dietary Approach to Stop Hypertension diet (DASH), and the Mediterranean-DASH Intervention for Neurodegeneration Delay diet (MIND) scores.",HEI-2015 is a score representing overall dietary pattern.
40055039,healthful plant-based diet index (hPDI),Yes,['diet'],"Five dietary pattern scores were calculated utilizing one (1999-2002) or two repeated (2003-2016) 24hr dietary recalls, including the Healthy Eating Index (HEI-2015), the healthful plant-based diet index (hPDI), the alternate Mediterranean diet (aMED), the Dietary Approach to Stop Hypertension diet (DASH), and the Mediterranean-DASH Intervention for Neurodegeneration Delay diet (MIND) scores.",Describes a specific dietary pattern linked to cognitive outcomes.
