PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,community-based health education interventions,Yes,['quality_of_care'],This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches...,Interventions improve care quality by enhancing dementia knowledge and health behaviors.
40523528,multimodal interventions,Yes,['treatment_and_medication'],"Most notably, multimodal interventions showed synergistic benefits for both cognitive performance and community health aging outcomes.",Multimodal interventions represent combined therapeutic approaches to manage ADRD risk.
40318342,pharmacists' knowledge and attitudes,No,['Undefined'],To identify studies that explored pharmacists' knowledge and attitudes regarding Alzheimer's Disease (AD).,"Entity refers to pharmacists' attributes, not a healthcare system factor impacting ADRD."
40318342,Alzheimer's Disease Knowledge Scale,No,['Undefined'],"Most studies were conducted in Asia (n = 5), in community pharmacies (n = 8), and used the Alzheimer's Disease Knowledge Scale (n = 8).","Entity is a knowledge assessment tool, not a healthcare factor impacting ADRD."
40318342,training programs and interventions targeting pharmacists,Yes,['quality_of_care'],The findings suggest the need for training programs and interventions targeting pharmacists working in services that care for patients with AD.,Training programs enhance care quality for ADRD patients via pharmacist expertise.
40684246,healthcare access,Yes,['health_access'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.","Economic hardship reduces healthcare access, increasing dementia risk."
40684246,poorer-quality healthcare,Yes,['quality_of_care'],"structural racism emerged as an 'external yet ubiquitous' force accelerating other drivers of dementia (e.g., poverty, insufficient community investment, and poorer-quality healthcare)","Entity refers to healthcare service quality, a core aspect of quality_of_care"
40684246,health education,Yes,['Undefined'],"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.",Health education is a social factor influencing healthcare access but not a direct healthcare class.
37647340,healthcare providers,Yes,['quality_of_care'],Future recommendations provided by healthcare providers to address SCD in cognitively unimpaired older adults might include focusing on technological assistance.,Healthcare providers' recommendations influence care quality for cognitive outcomes.
40587504,working in healthcare,No,['Undefined'],"Residents... working in healthcare, having a higher income level, being unmarried, and having experience in Alzheimer's Disease and Related Dementias (ADRD) knowledge training have a higher level of knowledge about AD and a more positive attitude towards it.","Entity represents occupational status, not a healthcare factor impacting ADRD outcomes."
40332047,dementia-capable home and community-based service systems,Yes,['health_access'],"Service and research organizations in Ohio collaborated to develop and expand dementia-capable home and community-based service systems, with a focus on individuals living with intellectual and developmental disability and dementia or at risk of dementia through the Administration for Community Living Alzheimer's Disease Programs Initiative (ADPI).",Expanding service systems improves access to dementia care.
