PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,lifestyle modifications,Yes,['behavior_change'],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.","Lifestyle modifications refer to changes in habitual behaviors affecting health, aligning with behavior change."
40523528,health behaviors,Yes,['Undefined'],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",General term not fitting specific behavioral/lifestyle categories.
40713707,Alcohol consumption,Yes,['substance_use'],It is largely unknown how alcohol use affects the risk of Alzheimer`s disease (AD).,Alcohol is a psychoactive substance affecting AD risk.
40651997,naturalistic driving behavior,Yes,['behavior_change'],The DRIVES Project at Washington University School of Medicine has developed a pipeline to measure naturalistic driving behavior of older adult drivers enrolled in longitudinal studies of aging and ADRD.,Driving behavior is a modifiable action linked to cognitive health outcomes.
40629265,music therapy,Yes,['behavior_change'],"Literatures between January 2013 and January 2023 were selected, with 42 literatures included in the study, which highlights the beneficial impact of MT on cognition (memory, attention, language), behavioural and psychological symptoms (anxiety, depression and agitation), quality of life, self-esteem and physical pain in AD patients.",Music therapy is a behavioral intervention modifying patient engagement in structured activities to improve cognitive and psychological outcomes.
40693459,moderate-to-vigorous physical activity (MVPA),Yes,['physical_activity'],"Higher moderate-to-vigorous physical activity (MVPA) relative to remaining behaviors was associated with greater right inferior temporal gyrus volume (ß = 0.30, false-discovery rate (FDR)-corrected-p = 0.030).",MVPA is a form of physical activity linked to brain volume changes in MCI.
,,,[],,
40684246,stress,No,['Undefined'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.","Stress is a psychological state, not a behavior or lifestyle factor as defined."
40684246,poor diet,Yes,['diet'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",habitual food consumption affecting dementia risk
40627435,mental stimulation activities,Yes,['behavior_change'],Many believed activities for mental stimulation could help enhance cognitive functioning.,Mental stimulation activities represent modifiable behavioral habits impacting cognition.
40627435,healthy diet and exercise,Yes,"['diet', 'physical_activity']",A few suggested that a healthy diet and exercise could help slow the progression of AD.,Healthy diet relates to nutritional habits affecting AD; exercise as bodily movement impacting cognitive health.
40627435,emotional wellness and support,Yes,['Undefined'],Some participants believed that emotional wellness and degree of support influenced AD progression.,Entity relates to emotional and social factors not covered in existing classes.
40325979,Obstructive sleep apnea (OSA),No,['Undefined'],OSA was linked to impaired global cognition and memory (p < 0.05).,"OSA is a sleep disorder, not a behavior or lifestyle factor."
40325979,Prolonged sleep duration,Yes,['sleep'],"Prolonged sleep predicted deficits in global cognition, processing speed, memory, and executive function and a higher risk of aMCI (all p < 0.05).",Prolonged sleep duration is a sleep pattern linked to cognitive decline.
40325979,Insomnia,Yes,['sleep'],"Insomnia affected 12.0%, 54.3% had poor sleep quality, and 14.2% endorsed RBD symptoms.",Insomnia is a sleep disorder linked to cognitive impairments.
40325979,REM sleep behavior disorder (RBD),Yes,['sleep'],"Insomnia affected 12.0%, 54.3% had poor sleep quality, and 14.2% endorsed RBD symptoms.",RBD is a sleep disorder linked to altered sleep states and cognitive outcomes.
37647340,technology-based behavioral strategies,Yes,['behavior_change'],"Our findings suggest that technology-based behavioral strategies are associated with less SCD in individuals with a family history of AD, independent of another protective lifestyle factor.",Modifying task approaches using technology as a behavioral strategy
37647340,physical activity,Yes,['physical_activity'],"However, a family history of AD moderated the association between technology use and SCD even when controlling for another protective lifestyle factor, physical activity.",Bodily movement enhancing health.
39969227,frequency of trips,No,['Undefined'],"Among 292 participants (n = 2,792 observations), including ADI of trip destinations, participants' home ADI, and frequency of trips to the same ADI led to a slight but notable improvement in predicting preclinical AD.","Entity represents environmental exposure, not a behavior/lifestyle factor."
40457220,alcohol consumption,Yes,['substance_use'],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Alcohol is a psychoactive substance impacting cognitive health.
