PMID,factor_relevance,entity,category,source_sentence,explanation
40449109,No,,,,
40523528,Yes,health education,Education_and_Literacy,"A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Intervention focused on education for dementia prevention.
40523528,Yes,Alzheimer's disease,AD/ADRD,"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",The disease targeted by the education intervention.
40523528,Yes,health knowledge lectures,Education_and_Literacy,"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",Specific type of educational intervention studied.
40523528,Yes,mental health education,Education_and_Literacy,"This scoping review of community-based health education interventions for Alzheimer's disease prevention across eight databases identified five intervention approaches-culturally adapted interventions, health knowledge lectures, mental health education, multidimensional comprehensive intervention, and telephone coaching.",Specific type of educational intervention studied.
40523528,Yes,AD knowledge,Education_and_Literacy,"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Outcome measure related to educational intervention.
40523528,Yes,dementia knowledge,Education_and_Literacy,"The findings demonstrated significant improvements in dementia knowledge, increased adoption of protective behaviors, and particularly strong effects in collectivist cultural settings.",Outcome measure related to educational intervention.
40318342,No,,,,
39623928,Yes,duration of education,Education_and_Literacy,"Caregiver relationship was significantly associated with patient age, sex, duration of education, cohabitation status, total NPI-Q score, and number of NPI-Q domains.",Education duration is linked to caregiver relationship in ADRD.
39623928,Yes,duration of school education,Education_and_Literacy,"Caregiver (oldest daughter), duration of school education, age, and total HDS-R and MMSE scores were significantly associated with NPI-Q total score and number of NPI-Q domains.",School education duration is associated with NPI-Q scores in ADRD.
