PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40449109,financial performance,Yes,['Undefined'],"This study examined the influence of common neurological and psychiatric conditions, i.e., Alzheimer's disease (AD), Parkinson's disease (PD), stroke, and affective disturbances, on financial performance.",Entity does not directly map to predefined economic stability classes.
40449109,difficulties in managing money,Yes,['financial_stress'],"Compared to controls, participants with one of the four conditions reported significantly more often having difficulties managing money. Within the AD group, over half of the participants reported these difficulties.",Difficulty managing money reflects financial strain linked to ADRD.
40561381,Area Deprivation Index (ADI),Yes,['socioeconomic_status'],"Area Deprivation Index (ADI), representing neighborhood disadvantage, was quantified at baseline using 17 components (e.g., housing, income, education, and household characteristics), with higher values indicating greater disadvantage.","ADI includes income and education as components, aligning with socioeconomic status."
40651997,Area Deprivation Index,Yes,['socioeconomic_status'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Composite measure of socioeconomic factors affecting ADRD risk.
40651997,Social Vulnerability Index,Yes,['socioeconomic_status'],"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Index combines socioeconomic factors like income and education.
40629265,economical,No,['Undefined'],music therapy (MT) has been diffusely used as an efficient and economical non-pharmacological treatment for AD patients in recent years.,"Entity describes treatment cost-effectiveness, not an economic stability factor influencing ADRD."
40684246,economic hardship,Yes,['problem_related_to_housing_and_economic_circumstance'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.","Economic hardship encompasses financial instability and inadequate resources, aligning with challenges in living/financial conditions."
40684246,low income,Yes,['income'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",low income affects healthcare access and dementia risk
40684246,unemployment,Yes,['employment'],"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Absence of employment affects healthcare access and dementia risk.
40684246,neighborhood deprivation,Yes,['socioeconomic_status'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.","Neighborhood deprivation reflects socioeconomic position via income, education, and occupation indicators."
39969227,area deprivation index (ADI),Yes,['socioeconomic_status'],"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.","ADI reflects neighborhood socioeconomic deprivation, aligning with socioeconomic status definitions."
39969227,socioeconomic disparities,Yes,['socioeconomic_status'],Addressing socioeconomic disparities through public health strategies is crucial for mitigating AD risk and enhancing the quality of life for older adults.,represents economic and social position differences
40469616,socioeconomic status,Yes,['socioeconomic_status'],"Factors such as education, socioeconomic status, and limited public health interventions contribute to the development of Alzheimer's disease and other dementias.","Entity aligns with socioeconomic status definition (income, education, occupation)."
40407095,socioeconomic status,Yes,['socioeconomic_status'],"UDS SDOH include transportation, socioeconomic status, social relationships, health care, and discrimination.",Entity directly corresponds to socioeconomic status class.
40407095,financial security,Yes,['socioeconomic_status'],"This article offers rationale, empirical support, and guidance for using the selected constructs: transportation security, financial security, social connectedness, health care experiences, and discrimination...","Financial security is a component of socioeconomic status, which encompasses economic and social position factors."
39630270,financial adversity,Yes,['financial_stress'],Six ACEs were assessed from two dimensions namely financial adversity and childhood trauma.,"Financial adversity represents material strain from insufficient resources, aligning with financial stress."
39630270,household income,Yes,['income'],"Cognitive reserve-enhancing factors were rated during three periods of life-course, namely early-life stage (educational attainment,), adulthood (household income) and late-life stage (weekly physical activity).",household income is a measure of monetary resources available to a household.
40163795,economic-related SLEs,Yes,['financial_stress'],"Grief-related SLEs were associated with AD and neurodegeneration CSF outcomes while economic SLEs were associated with MRI-based GM outcomes, both in an age-independent manner.",Economic stress linked to neurodegeneration markers.
40163795,unemployment and economic loss,Yes,"['employment', 'problem_related_to_housing_and_economic_circumstance']","Unemployment and economic loss were associated with lower GM volumes in limbic and frontal areas, driven by more educated participants and men and by women, respectively.",Unemployment relates to employment status; economic loss reflects financial instability linked to housing/economic challenges.
40138617,Social Vulnerability Index (SVI),No,['Undefined'],"Participants in tracts with SVI above 50th to 75th percentiles had OR = 2.23 (95% CI 1.23-4.05) for clinical AD, and participants in tracts greater than the 75th percentile had OR = 2.04 (95% CI 1.03-4.04).","SVI is a composite index, not a single economic stability factor."
40189829,individual income,Yes,['income'],"Associations remained, although somewhat attenuated, when individual income was controlled.",Individual income is a monetary resource affecting dementia risk.
40072379,government expenditure on education (% of GDP),Yes,['socioeconomic_status'],"Other sociodemographic development-related factors, including government expenditure on education (% of GDP), net national income per capita, health expenditure per capita, and fertility rate, were sourced from World Bank Data.",Public financial allocation to education reflects national socioeconomic development linked to dementia burden.
40072379,net national income per capita,Yes,['income'],"Other sociodemographic development-related factors, including government expenditure on education (% of GDP), net national income per capita, health expenditure per capita, and fertility rate, were sourced from World Bank Data.","Net national income per capita reflects monetary resources available to individuals, aligning with the income class."
40072379,health expenditure per capita,No,['Undefined'],"Other sociodemographic development-related factors, including government expenditure on education (% of GDP), net national income per capita, health expenditure per capita, and fertility rate, were sourced from World Bank Data.","Entity represents national-level health spending, not individual economic stability factors."
40072379,sociodemographic index,Yes,['socioeconomic_status'],The disability-adjusted life years of Alzheimer's disease and other dementias and sociodemographic index were extracted from the Global Burden of Disease 2021 study.,"Composite measure of socioeconomic development including income, education, and healthcare access."
39571734,unpaid caregiver burden,Yes,['expense'],We estimated the economic burden of unpaid caregivers and patient productivity loss because of AD across all disease severity stages to better understand the indirect impacts of AD.,represents financial outlay from caregiving efforts
39571734,patient productivity loss,Yes,['employment'],"The total annual indirect costs of unpaid caregiving and market and non-market productivity loss of AD increased with severity: $36 934 for mild cognitive impairment owing to AD, $65 565 for mild AD, $103 717 for moderate AD, and $145 250 for severe AD (2024 United States Dollars [USD]).","Patient productivity loss relates to engagement in paid work, a core aspect of employment."
40065204,financial barriers,Yes,['expense'],"Financial barriers were associated with the high costs of care, and logistical barriers included limited availability and accessibility of support services.","Financial barriers relate to costs of care, a direct expense affecting access to dementia services."
