PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40523528,modifiable risk factors,Yes,"['behavior_change', 'diet', 'physical_activity', 'substance_use', 'sleep']","A scoping review of community health education studies for dementia prevention was conducted to clarify the form, content, outcome indicators, evaluation tools, and effects of community health education interventions for dementia prevention and to inform future research in this area.",Refers to lifestyle factors impacting ADRD risk.
40523528,lifestyle modifications,Yes,['behavior_change'],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Lifestyle modifications are changes in behavior affecting health.
40523528,health behaviors,Yes,['behavior_change'],"These interventions primarily aimed to enhance AD knowledge and lifestyle modifications while evaluating outcomes across nine domains including knowledge level, cognitive functioning, attitudinal beliefs, psychological status, health behaviors, health status, life quality, self-management, and other indicators.",Health behaviors are observable actions affecting health and function.
40523528,protective behaviors,Yes,['behavior_change'],"The findings demonstrated significant improvements in dementia knowledge, increased adoption of protective behaviors, and particularly strong effects in collectivist cultural settings.",Protective behaviors are actions taken to improve health outcomes.
40713707,alcohol consumption,Yes,['substance_use'],"Information on alcohol consumption (g/week and type of alcohol) was collected and CSF amyloid-β1-42 (Aβ42), total-tau (T-tau), tau phosphorylated at threonine 181 (P-tau181), neurofilament light protein (NfL) and neurogranin (Ng) were measured.",Alcohol consumption is a form of substance use impacting ADRD.
40713707,alcohol use,Yes,['substance_use'],"Therefore, studies on the influence of alcohol use on cerebrospinal fluid (CSF) biomarkers for the earliest preclinical phase of AD are needed.",Alcohol use is a type of substance use impacting ADRD.
40713707,white wine,Yes,['substance_use'],"After adjustments for multiplicity with FDR, there was an association between white wine and Ng in women with CDR = 0 (β:0.254, CI: ( 0.069: 0.439), p = 0.0076, FDR = 0.0455).",White wine consumption is a form of substance use.
40713707,red wine intake,Yes,['substance_use'],"Interaction analysis between female sex and red wine intake was a significant predictor of high Ng levels (β:0.410, CI: ( 0.099: 0.721), p = 0.0100, FDR = 0.0500).",Red wine intake is a form of substance use.
40651997,driving behavior,Yes,['behavior_change'],"Outside of biomarkers that measure pathology, there is a lack of methods to quantify and study complex behaviors such as driving and managing finances that precede cognitive decline among older adults.",Driving is a complex behavior studied in relation to cognitive decline.
40651997,managing finances,Yes,['behavior_change'],"Outside of biomarkers that measure pathology, there is a lack of methods to quantify and study complex behaviors such as driving and managing finances that precede cognitive decline among older adults.",Managing finances is a complex behavior linked to cognitive decline.
40693459,physical activity,Yes,['physical_activity'],"The 24-hour activity cycle (24-HAC) includes physical activity (PA), sedentary behavior (SB), and sleep.",Entity represents bodily movement related to health.
40693459,sedentary behavior,Yes,['physical_activity'],"The 24-hour activity cycle (24-HAC) includes physical activity (PA), sedentary behavior (SB), and sleep.",Sedentary behavior is a type of physical activity.
40693459,sleep,Yes,['sleep'],"The 24-hour activity cycle (24-HAC) includes physical activity (PA), sedentary behavior (SB), and sleep.",Sleep is a key component of the 24-hour activity cycle studied.
40693459,moderate-to-vigorous physical activity,Yes,['physical_activity'],"Higher moderate-to-vigorous physical activity (MVPA) relative to remaining behaviors was associated with greater right inferior temporal gyrus volume (ß = 0.30, false-discovery rate (FDR)-corrected-p = 0.030).",MVPA is a form of bodily movement enhancing health.
40693459,sedentary behavior,Yes,['behavior_change'],"Higher SB relative to remaining behaviors was associated with lower volume in the same region (ß = -0.45, FDR-corrected-p = 0.015).",Sedentary behavior is a modifiable lifestyle factor impacting brain health.
40627435,mental stimulation,Yes,['behavior_change'],Many believed activities for mental stimulation could help enhance cognitive functioning.,Activities for mental stimulation are a behavior change impacting cognition.
40627435,healthy diet,Yes,['diet'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Healthy diet is a key component of nutritional intake.
40627435,exercise,Yes,['physical_activity'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Exercise is a form of physical activity impacting ADRD.
40627435,emotional wellness,Yes,['behavior_change'],Some participants believed that emotional wellness and degree of support influenced AD progression.,Emotional wellness is a behavioral factor influencing AD progression.
40403677,obese,No,[],"Non-compliant patients were more like to be obese (p = 0.046), cigarette smokers (p = 0.019), nargileh-hookah users (p = 0.037), and perform less physical exercise (p = 0.044).","Obesity is a health condition, not a behavior or lifestyle factor."
40403677,cigarette smokers,Yes,['substance_use'],"Non-compliant patients were more like to be obese (p = 0.046), cigarette smokers (p = 0.019), nargileh-hookah users (p = 0.037), and perform less physical exercise (p = 0.044).",Smoking is a form of substance use linked to health outcomes.
40403677,nargileh-hookah users,Yes,['substance_use'],"Non-compliant patients were more like to be obese (p = 0.046), cigarette smokers (p = 0.019), nargileh-hookah users (p = 0.037), and perform less physical exercise (p = 0.044).",Nargileh-hookah use is a form of substance use.
40403677,physical exercise,Yes,['physical_activity'],"Non-compliant patients were more like to be obese (p = 0.046), cigarette smokers (p = 0.019), nargileh-hookah users (p = 0.037), and perform less physical exercise (p = 0.044).",Physical exercise is a form of bodily movement for health.
