PMID,Llama4_ADRD_focus,Llama4_behavior_social_focus,Llama4_human_study,Llama4_include,Llama4_reason,Qwen3_ADRD_focus,Qwen3_behavior_social_focus,Qwen3_human_study,Qwen3_include,Qwen3_reason
23823141,True,True,True,True,"The study focuses on validating a scale for assessing wandering behavior in long-term care settings, which is a behavioral symptom often associated with Alzheimer's Disease and related dementias (AD/ADRD). It involves human participants and explores the relationship between wandering behavior and other behavioral disturbances or cognitive impairment, thus meeting all three criteria.",True,True,True,True,"The study focuses on institutionalized patients with cognitive impairment, likely due to AD/ADRD given the use of the Mini-Mental State Examination and Neuropsychiatric Inventory. It evaluates wandering behavior, a behavioral symptom common in dementia, using a validated scale, thus addressing behavioral aspects of AD/ADRD. The study involves human participants in long-term care settings."
24480594,True,False,True,False,"The study focuses on Alzheimer's disease and involves human participants, meeting criteria 1 and 3. However, it does not explore the relationship between AD/ADRD and behavioral or social factors, failing criterion 2.",True,False,True,False,"The study focuses on validating a cognitive screening tool (Spanish TYM) for Alzheimer's disease and cognitive impairment, which satisfies the AD/ADRD and human study criteria. However, it does not investigate behavioral or social factors related to AD/ADRD, such as behavioral symptoms, social determinants, or caregiver burden. Therefore, it fails the behavioral and social factors focus criterion."
24652899,True,True,True,True,"The study focuses on Alzheimer's Disease, involves human participants, and explores the impact of a caregiving support intervention on caregivers' health, which relates to behavioral and social factors.",True,True,True,True,"The study focuses on caregivers of individuals with Alzheimer's Disease or related dementias (AD/ADRD), as indicated by the REACH II intervention context. It examines behavioral and social factors, specifically caregiver burden, stress, and perceived health, which are relevant social and psychological aspects of dementia care. The study involves human participants (n=494 caregivers), with data collected from a clinical intervention trial. All three criteria are met."
24821336,True,True,True,True,"The study focuses on Alzheimer's Disease, involves human participants, and explores the impact of health education on knowledge about AD and health-promoting behaviors, thus meeting all three criteria.",True,True,True,True,"The study focuses on Alzheimer's disease (AD) and evaluates a health education intervention aimed at increasing knowledge about AD and promoting health behaviors in older Chinese adults, which are behavioral and social factors. The study involves human participants (n=35 older adults in a nursing home), satisfying all three criteria."
24910016,True,False,True,False,"The study focuses on Alzheimer's Disease and involves human participants, meeting criteria 1 and 3. However, it does not explore the relationship between AD/ADRD and behavioral or social factors, failing to meet criterion 2.",True,False,True,False,"The study focuses on Alzheimer's disease and uses human data, meeting the ADRD and human study criteria. However, it investigates the association between infectious burden and AD, which falls under biological/inflammatory mechanisms rather than behavioral or social factors. Therefore, it does not meet the behavioral and social factors focus criterion."
24969128,True,False,True,False,The study does not focus on behavioral or social factors related to AD/ADRD.,True,False,True,False,"The study focuses on Huntington's disease, which is included under the ADRD umbrella, satisfying the first criterion. It uses postmortem human brain tissue, meeting the human study criterion. However, the study investigates neurochemical and receptor changes (mGluR5, enkephalin, substance P) in brain tissue without any focus on behavioral or social factors such as symptoms, social determinants, relationships, or caregiver burden. Therefore, it does not meet the behavioral and social factors focus criterion, leading to exclusion."
25002342,True,False,True,False,The study does not primarily focus on the relationship between AD/ADRD and behavioral or social factors.,True,False,True,False,"The study focuses on validating a cognitive screening tool (ACE-III) for dementia, which falls under AD/ADRD and uses human participants. However, it does not explore behavioral or social factors related to AD/ADRD, such as behavioral symptoms, social determinants, or caregiver burden. Therefore, it fails the behavioral and social factors focus criterion."
25160532,True,True,True,True,"The study focuses on Alzheimer's Disease and related dementias (AD/ADRD), explores the relationship between AD/ADRD and behavioral or social factors through the use of doll therapy, and involves human participants.",True,True,True,True,"The study focuses on dementia (including Alzheimer's Disease and related dementias) and evaluates doll therapy, a behavioral intervention, in terms of its impact on communication, engagement, and distress—key behavioral and social factors. The review includes empirical studies involving human participants, satisfying all three inclusion criteria."
25315113,True,False,True,False,"The study focuses on Alzheimer's Disease (ADRD_focus: true) and involves human participants (human_study: true), but it does not explore the relationship between AD/ADRD and behavioral or social factors; it focuses on genetic associations with AD (behavior_social_focus: false).",True,False,True,False,"The study focuses on Alzheimer's disease (AD) and genetic associations with cytokine genes, fulfilling the AD/ADRD and human study criteria. However, it does not examine behavioral or social factors such as behavioral symptoms, social determinants of health, interpersonal relationships, or caregiver burden. Instead, it investigates biological and genetic mechanisms related to inflammation. Therefore, it fails the behavioral and social factors focus criterion."
25341874,True,False,True,False,The study does not primarily focus on behavioral or social factors related to AD/ADRD.,True,False,True,False,"The study focuses on Alzheimer's disease and dementia, satisfying the AD/ADRD focus criterion, and uses human data from a longitudinal cohort study, meeting the human study criterion. However, it investigates the association between proton pump inhibitor use and dementia risk, which is a pharmacological/medical exposure, not a behavioral or social factor. Therefore, it does not meet the behavioral and social factors focus criterion."
25363393,True,False,True,False,"The study focuses on Alzheimer's Disease and involves human participants, meeting criteria 1 and 3. However, it does not explore the relationship between AD/ADRD and behavioral or social factors, failing criterion 2.",True,True,True,True,"The study focuses on Alzheimer's disease (AD) progression, fulfilling the AD/ADRD focus criterion. It examines behavioral factors such as psychosis (a behavioral symptom) and cognitive measures related to disease course, satisfying the behavioral and social factors focus. The study involves human participants from a population-based cohort (Cache County Dementia Progression Study, N = 328), meeting the human study criterion. Therefore, all three criteria are met and the paper is included."
25370484,True,False,True,False,"The study focuses on Alzheimer's Disease and involves human participants, but it does not explore the relationship between AD/ADRD and behavioral or social factors.",True,False,True,False,"The study focuses on Alzheimer's disease and uses human data from two large cohorts, meeting the AD/ADRD and human study criteria. However, it does not explore behavioral or social factors such as behavioral symptoms, social determinants of health, or caregiver burden. Instead, it focuses on neuroimaging biomarkers and automated segmentation techniques to predict disease conversion, which falls under biological and neuroanatomical research rather than behavioral or social factors."
25425062,True,True,True,True,"The study focuses on Alzheimer's disease, explores the relationship between education (a social factor) and amyloid-β deposition, and involves human participants.",True,True,True,True,"The study focuses on Alzheimer's disease pathology (amyloid-β deposition) in cognitively normal older adults, fulfilling the AD/ADRD focus. It examines education, a key social determinant of health, in relation to AD pathology, satisfying the behavioral and social factors criterion. The study involves human participants (n=30 older adults) and uses PET imaging and cognitive testing, confirming it is a human study. Therefore, all inclusion criteria are met."
25432935,True,True,True,True,"The study focuses on dementia, a condition under AD/ADRD, explores the impact of baby doll therapy on behavioral aspects such as agitation, happiness, and interaction, and involves human participants.",True,True,True,True,"The study focuses on dementia, which falls under AD/ADRD. It examines the impact of baby doll therapy—a behavioral intervention—on agitation, happiness, and social interaction, thus addressing behavioral and social factors. The study was conducted with 16 human residents in a dementia care center, confirming it is a human study. All three criteria are met."
25446570,True,True,True,True,"The paper focuses on the nicotinic cholinergic system in the human brain, mentioning Alzheimer's disease and its relation to cognition, emotion, and behavior, thus meeting the AD/ADRD focus and behavioral and social factors focus criteria. It involves human studies, meeting the third criterion.",True,False,True,False,"While the paper discusses Alzheimer's disease as one of the conditions involving nicotinic cholinergic system changes and includes human studies, it does not focus on behavioral or social factors related to AD/ADRD. The emphasis is on neuroimaging, neuroanatomy, and neuropsychological markers rather than behavioral symptoms or social determinants. Therefore, it fails to meet the behavioral and social factors focus criterion."
25491588,True,True,True,True,"The study focuses on Alzheimer's Disease (AD), meeting the AD/ADRD focus criterion. It explores the relationship between a specific genetic polymorphism and AD, particularly in the context of alcohol consumption, which can be related to behavioral factors. The study involves human participants, meeting the human study criterion.",True,False,True,False,"The study focuses on Alzheimer's disease (AD) in a human population and investigates a genetic polymorphism (COMT Val158Met) in relation to AD risk, particularly in the context of alcohol consumption. While alcohol consumption is a behavioral factor, the study's primary focus is on gene-environment interaction at a biological level rather than on behavioral or social factors such as behavioral symptoms, social determinants of health, or caregiver burden. The analysis is centered on genetic and neurobiological mechanisms, not on behavioral or social processes or outcomes. Therefore, it does not meet the behavioral and social factors focus criterion."
25511791,True,True,True,True,"The study focuses on frontotemporal dementia subtypes (right-lateralised semantic dementia and behavioural-variant frontotemporal dementia), which are related dementias. It explores clinical characteristics, emotion processing, and associated neural correlates, relating to behavioral factors. The study involves human participants.",True,True,True,True,"The study focuses on right-lateralised semantic dementia and behavioural-variant frontotemporal dementia, both of which are included under the umbrella of related dementias (AD/ADRD). It examines behavioral features such as apathy, disinhibition, empathy, and personality/behavioral changes, which are key behavioral factors in dementia. The study involves human participants, with clinical assessments and neuroimaging data collected from patients and controls. Therefore, it meets all three inclusion criteria."
25533477,True,True,True,True,"The study focuses on Alzheimer's Disease and related dementias (AD/ADRD), specifically comparing clinical symptoms among Alzheimer's disease, dementia with Lewy bodies, and frontotemporal dementia. It explores behavioral and neuropsychiatric symptoms, which aligns with the behavioral and social factors focus. The study involves human participants, meeting the human study criterion.",True,True,True,True,"The study focuses on Alzheimer's disease, dementia with Lewy bodies, and frontotemporal dementia, all of which are AD/ADRD conditions. It examines behavioral and neuropsychiatric symptoms, which are behavioral factors related to these dementias. The study involves human participants recruited from a memory clinic, with clinical data collected on cognitive, behavioral, and neuropsychiatric features. Therefore, all three criteria are met."
25573531,True,True,False,False,The study does not involve human participants or data; it appears to be a review or discussion based on existing literature and clinical experience.,True,True,True,True,"The paper focuses on Alzheimer's disease and other irreversible dementias (AD/ADRD Focus: true). It discusses psychosocial interventions, caregiver and family education, and behavioral symptoms in the context of palliative care, which are behavioral and social factors (Behavioral and Social Focus: true). The recommendations are based on clinical experience and literature involving human patients and families (Human Study: true). Therefore, the paper meets all three inclusion criteria."
25592615,True,True,True,True,"The study focuses on Alzheimer's Disease and related dementias (AD/ADRD), specifically examining the relationship between behavioral and psychological symptoms and cognitive decline in patients with amnestic MCI and mild AD. It involves human participants and explores the association between AD/ADRD and behavioral factors.",True,True,True,True,"The study focuses on amnestic MCI and mild Alzheimer's disease (AD), which are part of the AD/ADRD spectrum. It examines behavioral and psychological symptoms (BPS), which are behavioral factors, in relation to cognitive decline, thus addressing the behavioral aspect. The study involves human participants assessed over a two-year period using clinical methods, confirming it is a human study. All three criteria are met."
25592720,True,True,True,True,"The study focuses on Alzheimer's Disease and related dementias (AD/ADRD), explores public perceptions about risk and protective factors related to cognitive health and impairment, and involves human participants/data through a review of studies examining public perceptions.",True,True,True,True,"The study focuses on public perceptions regarding risk and protective factors for cognitive impairment, including Alzheimer's disease and dementia, which falls under AD/ADRD. It examines behavioral and social factors such as lifestyle behaviors (e.g., physical activity, social/leisure activities) and public beliefs, which are social determinants relevant to cognitive health. The study is based on a review of literature involving human participants' perceptions, thus meeting the human study criterion."
25601209,True,True,True,True,"The study focuses on Alzheimer's Disease and related dementias (AD/ADRD) by exploring how Latino families cope with dementia behavioral problems. It examines the relationship between AD/ADRD and behavioral or social factors, such as coping strategies and caregiver perspectives. The study involves human participants, specifically Latino caregivers, making it a human study.",True,True,True,True,"The study focuses on dementia, which falls under ADRD, explores behavioral problems and caregiver coping strategies (behavioral and social factors), and involves human participants (Latino caregivers). Therefore, it meets all three inclusion criteria."
25601591,True,False,False,False,"The study is focused on Alzheimer's Disease, meeting the AD/ADRD focus criterion. However, it does not explore the relationship between AD/ADRD and behavioral or social factors, failing the behavioral and social factors focus criterion. Additionally, the study is based on animal models and does not involve human participants or data, failing the human study criterion.",True,False,False,False,"The study focuses on Alzheimer's disease (AD) and discusses neural stem cell-based therapies, satisfying the AD/ADRD focus. However, it does not explore behavioral or social factors related to AD/ADRD, and the research is based on animal studies and theoretical mechanisms, not human participants or data. Therefore, it fails to meet the behavioral/social focus and human study criteria, leading to exclusion."
25604428,True,True,True,True,"The paper meets all three criteria: it focuses on AD/ADRD, explores behavioral and social factors, and involves human data.",True,True,False,False,"While the paper discusses Alzheimer's disease and genetic/environmental factors related to MAO expression that may influence neuropsychiatric and neurodegenerative disorders (meeting ADRD focus), and touches on social behavior in relation to MAO-A polymorphisms and childhood maltreatment (meeting behavioral/social focus), it is a review that relies primarily on animal and cellular models. The abstract explicitly mentions evidence from 'animal and cellular models' and does not report original research involving human participants. Therefore, it fails the human study criterion."
25613527,True,False,True,False,"The study focuses on Alzheimer's Disease (AD) and involves human participants, meeting criteria 1 and 3. However, it does not explore the relationship between AD/ADRD and behavioral or social factors; instead, it investigates the relationship between white matter hyperintensity and lower urinary tract symptoms, thus not meeting criterion 2.",True,True,True,True,"The study focuses on Alzheimer's disease and amnestic mild cognitive impairment (AD/ADRD focus). It examines lower urinary tract dysfunction, which is a behavioral/autonomic symptom commonly associated with dementia, and its relationship to white matter changes, thus involving behavioral aspects of AD/ADRD (behavioral and social factors focus). The study includes human participants aged 65–85 years with clinical diagnoses, assessments from patients and caregivers, and neuroimaging data (human study). All three criteria are met."
25626633,True,False,True,False,The study does not directly focus on behavioral or social factors related to AD/ADRD.,True,False,True,False,"The study focuses on vascular risk factors and stroke in relation to cognitive decline in late life using data from the NACC cohort, which includes individuals at risk for Alzheimer's Disease and related dementias (AD/ADRD), satisfying the AD/ADRD focus. The study involves human participants, meeting the human study criterion. However, it does not examine behavioral or social factors (e.g., behavioral symptoms, social determinants, caregiver burden, interpersonal relationships); instead, it focuses on biomedical risk factors (vascular risks, stroke) and cognitive outcomes. Therefore, it fails the behavioral and social factors focus criterion and is excluded."
25628299,True,True,True,True,"The study focuses on caregivers of persons with dementia, exploring the impact of an intervention on their stress levels related to caregiving, thus meeting the AD/ADRD focus and behavioral/social factors focus criteria. It involves human participants, satisfying the human study criterion.",True,True,True,True,"The study focuses on caregivers of persons with dementia, which falls under AD/ADRD. It examines behavioral and social factors, specifically caregiver stress and reactions to disruptive behaviors, which are key aspects of caregiver burden. The study involves human participants (107 adult child caregivers) and uses data from a randomized controlled trial. All three criteria are met."
